sku,sales,red,blue,white,black,green,orange,digital news platform,blog,youtube,magazine,gps,step-tracker,extra-light-material
383,7511.5812937780365,1,1,1,0,1,1,0,0,1,0,0,0,0
384,8274.402255827206,0,0,0,0,0,0,0,0,1,1,1,1,1
385,6518.186590511499,0,0,0,0,0,0,1,0,1,1,1,1,1
386,3256.599112716414,0,0,1,0,0,0,0,1,0,0,0,1,1
387,4267.8146478865165,1,0,1,1,0,1,1,1,1,1,0,0,1
388,3165.784211352971,0,1,0,0,0,0,0,1,0,1,0,1,1
389,8404.208214656635,0,0,0,0,0,0,0,1,1,1,1,1,1
390,3183.2122363913772,0,0,1,1,0,0,0,0,1,0,1,1,1
391,1944.5790477274172,0,1,1,1,0,1,0,0,0,1,0,0,0
392,7142.735355599452,0,0,0,0,1,0,1,0,1,1,1,0,0
393,2434.842775761511,0,0,0,0,0,0,1,1,1,1,0,0,0
394,5228.755109591279,0,1,1,1,1,1,0,0,0,0,1,1,1
395,5131.5815056983,1,1,0,1,0,1,1,1,1,0,1,0,0
396,2702.5570018242274,0,0,0,1,0,0,0,0,0,0,0,0,0
397,4173.812170301405,0,1,1,1,0,1,0,0,1,1,0,1,1
398,6054.140252451803,0,0,0,0,0,0,1,0,1,1,0,0,1
399,8059.689749506732,0,1,1,1,1,1,0,1,1,1,1,1,0
400,6422.1608271421655,1,1,1,0,1,0,0,0,0,0,1,1,1
401,1699.9419988103405,1,0,1,0,1,1,0,0,0,0,0,0,0
402,2667.6806720724467,0,0,0,0,0,1,0,0,0,0,0,1,1
403,4176.9983642499055,1,1,1,1,1,1,0,1,0,0,1,0,0
404,2239.0806249660886,1,1,1,1,1,0,0,0,0,0,1,1,1
405,3574.474461585122,0,1,0,0,0,0,0,0,0,0,0,1,0
406,3758.132906039159,1,1,1,1,0,1,0,0,0,0,0,0,1
407,5993.6336605834695,1,1,1,1,1,1,1,1,0,0,0,1,1
408,2603.6578668827046,0,0,0,0,0,0,0,0,0,0,0,0,0
409,1613.8648883904982,0,1,1,1,1,0,0,0,0,1,0,0,0
410,4026.491804889506,1,0,0,1,0,0,0,0,0,0,1,0,1
411,5964.945934868935,0,0,0,0,0,0,0,1,0,1,0,0,0
412,8304.782311407194,0,0,0,0,0,0,1,1,1,1,1,1,1
413,532.8070907178983,1,0,1,1,1,1,1,1,1,1,0,0,0
414,2779.90680073793,1,1,0,1,1,1,1,1,1,0,1,0,0
415,4411.941573405571,0,0,0,0,1,0,1,0,0,0,1,1,1
416,315.06497401539656,1,1,1,1,1,1,1,1,0,0,0,0,0
417,8410.04313622068,1,0,0,0,0,0,1,0,0,1,1,0,1
418,6217.415131062622,1,1,1,1,0,1,1,1,1,1,0,0,0
419,8215.6406209501,0,1,0,1,1,0,1,0,0,1,0,0,1
420,9682.426845635973,0,0,0,0,0,0,0,0,1,0,0,0,0
421,5415.111047096666,0,1,0,0,1,0,1,1,1,0,0,0,0
422,2983.741592547057,1,1,1,1,1,1,1,1,1,1,0,0,0
423,329.3914476129289,1,1,1,1,1,1,0,0,0,0,0,0,1
424,148.190180163279,0,1,1,0,0,0,1,0,0,0,1,1,1
425,5994.895503954961,0,0,0,0,0,0,1,1,1,1,1,1,1
426,4848.887639776637,1,0,1,1,0,0,1,0,0,0,1,1,1
427,2733.438194256117,1,1,0,0,1,0,0,0,1,0,0,0,0
428,9348.210277475759,0,0,0,0,0,0,0,1,0,0,1,1,1
429,1047.3950441782765,1,0,1,0,0,1,0,1,0,1,0,1,1
430,3078.0591218055197,0,1,1,1,1,1,1,1,0,1,0,0,0
431,9651.392999905936,0,0,1,1,1,1,1,1,0,0,0,0,0
432,4970.876675296756,0,0,0,0,0,0,0,0,1,0,1,1,1
433,2729.111484957192,1,0,1,0,0,0,0,0,0,0,1,0,1
434,5672.629168085613,0,1,1,0,1,0,0,1,1,1,1,1,1
435,3810.405297387536,0,0,0,0,0,0,1,1,0,0,0,1,1
436,6840.553342779327,1,1,0,0,1,0,1,1,1,1,0,1,0
437,413.5411652927712,1,1,1,1,0,1,0,0,0,0,1,1,1
438,2188.5082938477317,0,0,0,0,0,0,0,1,1,0,1,1,1
439,517.1416947078966,1,1,1,1,0,0,0,0,0,0,0,0,0
440,2457.8433672082124,0,0,0,0,0,0,0,1,1,0,1,1,1
441,3619.58040925767,1,1,1,1,0,0,0,1,0,1,0,1,0
442,4560.371426050635,0,0,0,1,0,1,0,0,0,1,0,0,0
443,5476.789803069174,0,0,0,0,0,1,1,1,0,1,0,1,1
444,3539.712675872081,1,1,1,0,1,1,1,1,0,0,1,0,0
445,8295.184559287094,1,1,1,0,1,1,1,1,1,1,1,0,1
446,3053.769133443135,1,1,1,1,1,1,0,0,0,0,1,0,1
447,9836.013295699706,1,1,0,1,1,0,1,1,0,0,1,1,0
448,1821.7592742323063,0,0,0,1,1,1,0,0,0,0,1,0,1
449,9467.931602179364,1,1,0,1,0,0,0,0,0,0,0,0,0
450,8087.953216442261,1,0,0,0,1,0,0,1,0,0,0,1,1
451,8945.360374664479,1,1,1,0,0,1,1,1,1,1,1,1,1
452,5010.815117337224,1,0,0,1,0,0,1,1,0,1,1,1,1
453,9859.201838367999,0,0,0,1,0,1,1,0,0,0,1,1,0
454,7839.881725083807,1,1,0,0,0,1,1,0,1,1,1,1,0
455,8819.838820524714,0,1,1,1,0,1,0,1,0,0,1,1,1
456,5912.412791838631,0,0,0,0,0,0,1,1,0,0,1,1,1
457,645.0717262113014,0,0,1,1,1,0,1,1,1,1,0,0,0
458,8891.123106858677,1,1,1,1,1,1,0,1,0,1,0,0,1
459,9683.299606813618,1,1,1,0,0,1,0,0,0,0,1,0,0
460,6935.018161104251,0,1,1,0,1,0,0,1,0,0,1,0,1
461,3744.842652457536,1,1,1,1,1,1,1,0,1,1,1,1,1
462,4029.6504813414613,1,1,1,0,1,1,1,1,1,1,1,0,0
463,3707.4620427682794,1,0,0,1,0,0,1,0,1,0,0,0,0
464,7279.446266125546,1,0,1,1,1,1,1,1,1,0,1,0,0
465,9314.947517802699,0,0,0,0,1,0,1,1,0,1,1,1,1
466,9365.880378713411,1,1,1,1,1,1,1,0,0,1,0,0,0
467,6089.795349293181,0,1,1,1,0,1,1,1,1,0,0,1,1
468,3163.959786234445,1,1,1,1,1,1,0,0,1,1,1,0,1
469,7773.4990169084185,0,0,0,0,0,0,0,0,0,1,0,0,1
470,9044.766173879756,1,0,0,1,0,1,0,0,1,1,0,0,0
471,1548.0036573699097,0,1,1,1,1,1,1,1,1,0,0,0,1
472,8345.204232785178,0,0,0,0,0,0,0,0,0,0,0,0,0
473,6046.947577627031,0,0,1,0,1,0,0,0,1,1,0,0,0
474,7627.293442542341,1,1,1,1,0,1,0,0,0,0,1,1,1
475,5958.876279187829,0,0,1,1,1,0,0,1,0,1,1,1,1
476,317.73475115242536,1,1,1,1,0,1,0,0,0,0,1,0,0
477,3075.1283371562013,1,0,0,0,0,0,1,0,0,0,1,1,1
478,8180.768548705595,1,1,1,1,1,1,0,0,0,0,1,1,1
479,3002.0780983326467,1,1,1,1,0,1,1,1,1,1,1,1,1
480,8358.913585347793,1,1,1,0,0,0,0,0,1,1,0,0,1
481,1480.7791092732768,1,1,1,1,1,1,1,1,0,1,1,0,0
482,4402.8041133747865,1,1,1,1,1,1,1,1,1,1,1,0,0
483,9038.093985004849,1,0,1,1,0,1,0,0,0,1,0,0,0
484,6243.0450164461045,1,1,1,1,1,1,1,1,0,0,0,1,0
485,2108.7732329467203,0,0,0,0,1,0,0,1,1,1,1,1,1
486,8686.040841318149,0,1,0,0,1,0,1,1,1,1,0,0,0
487,6468.930323509437,1,1,0,0,0,1,0,0,0,0,0,0,0
488,1914.1727702432088,1,0,0,0,0,0,0,0,0,0,1,0,0
489,4496.824168823501,0,0,0,0,0,0,1,1,1,1,0,1,1
490,5053.598603166515,0,0,0,0,0,0,1,1,1,1,0,1,0
491,1818.1677429225385,1,0,0,0,0,1,0,1,1,0,1,1,1
492,5537.392019367019,1,0,0,0,1,0,1,1,1,1,1,1,1
493,1770.657127755194,0,1,0,1,0,1,0,0,0,0,0,0,0
494,7390.069458171535,1,1,1,1,1,1,1,0,0,1,1,1,1
495,2160.6900497806105,0,0,0,0,0,1,0,1,0,1,1,0,0
496,4847.85251167789,1,1,0,1,0,1,1,0,1,0,0,0,0
497,2776.201715729274,0,0,0,0,0,0,0,1,0,0,1,0,1
498,2760.8113611265094,0,1,0,1,0,1,0,0,1,0,1,1,1
499,8125.8238279668585,0,0,1,0,0,0,0,0,0,0,1,1,1
