id,item,dollars,wkday,time
889,toaster,23.42,Mon,2
890,microwave,18.76,Thur,3
891,carpet,82.13,Mon,1
892,cookware set,105.19,Mon,1
893,cookware set,53.21,Fri,1
894,cookware set,58.66,Mon,3
895,carpet,40.13,Mon,2
896,microwave,17.47,Wed,2
897,cookware set,20.82,Thur,0
898,paint,16.33,Sun,0
899,microwave,39.04,Fri,0
900,toaster,16.32,Thur,2
901,fan,86.51,Sun,0
902,decorations,13.57,Wed,3
903,paint,14.47,Sat,0
904,microwave,24.48,Mon,2
905,cookware set,54.25,Sat,0
906,toaster,11.22,Wed,3
907,decorations,16.89,Mon,3
908,decorations,11.64,5,2
909,toaster,21.51,Fri,1
910,fan,106.22,Sun,2
911,carpet,38.96,Wed,3
912,carpet,16.78,Fri,3
913,fan,54.75,Mon,3
914,carpet,35.66,Fri,0
915,cookware set,85.67,Sun,0
916,fan,17.09,Tue,2
917,decorations,10.68,Fri,2
918,fan,40.89,Mon,3
919,toaster,28.64,Tue,0
920,decorations,13.05,Fri,1
921,decorations,11.86,5,2
922,fan,97.21,Wed,2
923,microwave,20.65,Wed,1
924,paint,16.7,Fri,0
925,carpet,87.84,Tue,0
926,carpet,67.21,Sat,3
927,toaster,19.62,Thur,1
928,carpet,13.57,Thur,0
929,paint,12.54,Thur,0
930,paint,13.38,Sat,0
931,carpet,89.17,Sat,2
932,paint,10.48,Mon,0
933,fan,68.5,Sat,2
934,microwave,20.14,Mon,1
935,microwave,38.54,Thur,2
936,carpet,84.83,Sat,2
937,carpet,63.94,Thur,0
938,fan,11.19,Fri,1
939,fan,44.18,Mon,0
940,toaster,15.57,Tue,0
941,paint,17.5,Wed,2
942,toaster,24.89,Mon,1
943,carpet,50.52,Fri,1
944,microwave,21.03,Sun,2
945,fan,83.77,Sun,1
946,paint,18.67,Wed,0
947,carpet,20.42,Sun,2
948,decorations,11.74,5,1
949,fan,73.29,Sun,3
950,toaster,21.53,Mon,2
951,toaster,25.56,Wed,0
952,fan,106.03,Tue,0
953,carpet,47.41,Wed,3
954,decorations,16.15,Fri,1
955,carpet,45.12,Thur,1
956,paint,18.34,Sun,0
957,toaster,18.22,Sun,0
958,paint,17.02,Thur,0
959,paint,13.92,Tue,0
960,decorations,18.11,Wed,1
961,cookware set,27.28,Thur,1
962,carpet,69.67,Fri,0
963,decorations,15.8,5,0
964,carpet,98.06,Thur,2
965,cookware set,54.61,Fri,1
966,microwave,28.03,Thur,2
967,microwave,12.48,Sat,1
968,paint,19.51,Thur,1
969,microwave,38.59,Sat,3
970,decorations,18.84,5,2
971,paint,12.48,Sun,0
972,toaster,15.91,Thur,0
973,microwave,16.9,Fri,2
974,paint,19.03,Mon,0
975,decorations,17.03,Sun,3
976,carpet,59.64,Sun,2
977,paint,16.43,Tue,0
978,carpet,29.32,Sat,0
979,paint,19.33,Wed,0
980,paint,15.05,Tue,0
981,paint,14.43,Wed,2
982,cookware set,81.35,Sun,3
983,toaster,29.11,Thur,1
984,toaster,26.51,Wed,1
985,microwave,20.15,Fri,0
986,cookware set,27.65,Wed,2
987,microwave,34.07,Wed,3
988,microwave,38.0,Fri,1
989,toaster,28.07,Tue,2
990,cookware set,68.65,Thur,0
991,toaster,15.36,Tue,2
992,fan,48.76,Sat,0
993,toaster,10.24,Sat,0
994,cookware set,57.04,Thur,3
995,carpet,95.26,Sun,1
996,decorations,16.58,Mon,1
997,paint,18.74,Mon,0
998,cookware set,54.07,Sun,1
999,fan,43.29,Wed,2
