id,brand,model,color,click
861,Nissan,Maxima,red,0
862,Chevy,Camaro,white,0
863,Toyota,Corolla,red,0
864,Toyota,Camry,white,0
865,Honda,Odyssey,black,0
866,Honda,Civic,blue,1
867,Chevy,Impala,silver,0
868,Toyota,Yaris,red,0
869,Honda,Odyssey,blue,0
870,Nissan,Juke,black,0
871,Ford,Escape,black,0
872,Nissan,Versa,white,0
873,Toyota,Camry,red,0
874,Honda,Odyssey,black,0
875,Ford,Focus,silver,0
876,Chevy,Impala,white,0
877,Nissan,Juke,dark-blue,0
878,Chevy,Cruze,silver,0
879,Ford,Explorer,dark-blue,0
880,Ford,Fiesta,silver,0
881,Toyota,Yaris,white,0
882,Ford,Fiesta,blue,0
883,Nissan,Sentra,black,1
884,Toyota,RAV4,blue,0
885,Toyota,Corolla,blue,0
886,Toyota,Prius,silver,0
887,Nissan,Pathfinder,silver,0
888,Chevy,Cruze,dark-blue,0
889,Chevy,Cruze,blue,1
890,Chevy,Sonic,white,0
891,Toyota,Prius,silver,0
892,Honda,Accord,black,0
893,Chevy,Sonic,blue,0
894,Nissan,Altima,black,1
895,Ford,Escape,dark-blue,0
896,Ford,Escape,blue,0
897,Chevy,Impala,silver,0
898,Nissan,Maxima,white,1
899,Chevy,Impala,dark-blue,0
900,Ford,Mustang,red,1
901,Honda,Accord,white,0
902,Chevy,Camaro,silver,0
903,Toyota,4Runner,blue,0
904,Toyota,Camry,silver,0
905,Ford,Escape,silver,0
906,Toyota,Prius,blue,0
907,Ford,Focus,black,0
908,Chevy,Sonic,red,0
909,Nissan,Versa,black,0
910,Honda,Odyssey,red,1
911,Toyota,Yaris,blue,1
912,Honda,Odyssey,dark-blue,0
913,Honda,Civic,black,0
914,Ford,Explorer,silver,0
915,Nissan,Juke,blue,0
916,Toyota,4Runner,red,0
917,Chevy,Sonic,red,0
918,Honda,CR-V,blue,1
919,Chevy,Sonic,white,0
920,Honda,CR-V,black,0
921,Toyota,Prius,red,0
922,Honda,Accord,silver,1
923,Chevy,Camaro,black,0
924,Nissan,Juke,silver,0
925,Nissan,Pathfinder,silver,1
926,Toyota,4Runner,silver,0
927,Ford,Fiesta,black,0
928,Honda,Odyssey,silver,0
929,Toyota,Yaris,blue,0
930,Honda,Fit,red,0
931,Toyota,4Runner,red,1
932,Nissan,Juke,black,0
933,Nissan,Pathfinder,dark-blue,0
934,Toyota,4Runner,silver,1
935,Chevy,Sonic,red,0
936,Nissan,Sentra,black,0
937,Honda,CR-V,white,0
938,Nissan,Versa,white,1
939,Toyota,4Runner,red,0
940,Honda,Fit,black,0
941,Ford,Escape,blue,1
942,Ford,Explorer,dark-blue,0
943,Ford,Explorer,white,0
944,Honda,Accord,dark-blue,1
945,Toyota,Prius,black,0
946,Ford,Mustang,black,0
947,Chevy,Impala,blue,1
948,Ford,Focus,red,0
949,Honda,Odyssey,white,1
950,Ford,Fiesta,silver,0
951,Chevy,Malibu,dark-blue,0
952,Nissan,Pathfinder,white,0
953,Honda,CR-V,white,0
954,Nissan,Maxima,blue,0
955,Nissan,Juke,black,1
956,Chevy,Impala,silver,0
957,Nissan,Maxima,white,0
958,Chevy,Impala,dark-blue,0
959,Toyota,Yaris,silver,0
960,Honda,Accord,silver,0
961,Toyota,Yaris,white,1
962,Ford,Explorer,red,0
963,Honda,Civic,red,1
964,Toyota,RAV4,dark-blue,1
965,Ford,Focus,silver,0
966,Nissan,Versa,silver,0
967,Nissan,Pathfinder,silver,0
968,Honda,Odyssey,blue,1
969,Honda,Civic,black,0
970,Honda,Accord,dark-blue,1
971,Ford,Fiesta,red,0
972,Ford,Focus,black,0
973,Honda,Odyssey,white,0
974,Ford,Mustang,white,0
975,Toyota,Prius,blue,0
976,Ford,Mustang,blue,1
977,Chevy,Cruze,dark-blue,1
978,Toyota,Camry,red,0
979,Chevy,Malibu,red,0
980,Ford,Fiesta,dark-blue,0
981,Nissan,Altima,silver,0
982,Toyota,RAV4,blue,0
983,Toyota,Prius,blue,1
984,Ford,Escape,silver,0
985,Honda,Fit,silver,0
986,Toyota,Camry,black,1
987,Nissan,Maxima,black,0
988,Ford,Focus,blue,0
989,Chevy,Cruze,white,1
990,Ford,Focus,black,0
991,Ford,Focus,black,0
992,Chevy,Malibu,white,0
993,Honda,Fit,white,0
994,Toyota,Prius,dark-blue,0
995,Honda,Accord,silver,0
996,Ford,Focus,blue,0
997,Chevy,Impala,dark-blue,1
998,Toyota,Yaris,black,0
999,Ford,Mustang,red,0
1000,Honda,Civic,white,0
1001,Ford,Focus,white,0
1002,Toyota,4Runner,black,0
1003,Honda,Odyssey,dark-blue,1
1004,Toyota,Camry,blue,0
1005,Honda,Civic,silver,0
1006,Toyota,Yaris,red,1
1007,Nissan,Maxima,red,0
1008,Ford,Escape,black,1
1009,Nissan,Maxima,dark-blue,0
1010,Nissan,Juke,black,0
1011,Nissan,Maxima,white,0
1012,Toyota,RAV4,black,0
1013,Nissan,Juke,white,1
1014,Chevy,Sonic,red,1
1015,Chevy,Cruze,white,1
1016,Honda,Odyssey,red,0
1017,Ford,Escape,white,0
1018,Nissan,Juke,silver,1
1019,Honda,Odyssey,blue,0
1020,Toyota,4Runner,red,0
1021,Honda,Accord,white,0
1022,Chevy,Impala,silver,1
1023,Toyota,Prius,red,0
1024,Toyota,Yaris,blue,0
1025,Chevy,Sonic,red,0
1026,Ford,Focus,red,0
1027,Toyota,Camry,black,0
1028,Ford,Escape,silver,0
1029,Toyota,Prius,black,0
1030,Nissan,Versa,silver,0
1031,Nissan,Pathfinder,blue,0
1032,Nissan,Sentra,white,0
1033,Nissan,Versa,black,0
1034,Nissan,Pathfinder,dark-blue,0
1035,Honda,Odyssey,black,1
1036,Chevy,Sonic,black,0
1037,Chevy,Sonic,black,1
1038,Toyota,4Runner,black,0
1039,Ford,Escape,red,1
1040,Toyota,Yaris,dark-blue,0
1041,Honda,Civic,blue,0
1042,Honda,Accord,blue,0
1043,Toyota,Prius,red,0
1044,Honda,Civic,blue,0
1045,Honda,Odyssey,white,1
1046,Toyota,RAV4,red,1
1047,Ford,Mustang,black,0
1048,Chevy,Camaro,red,1
1049,Honda,CR-V,black,1
1050,Honda,Civic,black,0
1051,Nissan,Versa,dark-blue,0
1052,Chevy,Camaro,dark-blue,0
1053,Toyota,Yaris,blue,1
1054,Ford,Explorer,red,0
1055,Chevy,Malibu,silver,0
1056,Nissan,Maxima,black,0
1057,Chevy,Cruze,red,0
1058,Nissan,Maxima,blue,0
1059,Nissan,Maxima,black,0
1060,Chevy,Sonic,dark-blue,0
1061,Ford,Explorer,dark-blue,0
1062,Chevy,Camaro,red,1
1063,Honda,CR-V,red,0
1064,Nissan,Versa,silver,0
1065,Nissan,Maxima,blue,0
1066,Honda,Civic,silver,0
1067,Toyota,Corolla,blue,0
1068,Nissan,Versa,silver,0
1069,Toyota,Camry,red,0
1070,Honda,Civic,black,0
1071,Toyota,RAV4,silver,0
1072,Ford,Explorer,black,0
1073,Ford,Explorer,blue,1
1074,Ford,Escape,dark-blue,0
1075,Nissan,Sentra,white,0
1076,Ford,Explorer,dark-blue,0
1077,Chevy,Impala,white,0
1078,Chevy,Malibu,white,0
1079,Toyota,RAV4,red,0
1080,Honda,Accord,silver,0
1081,Chevy,Impala,black,0
1082,Ford,Escape,silver,0
1083,Toyota,Prius,silver,0
1084,Ford,Explorer,white,0
1085,Toyota,RAV4,black,0
1086,Toyota,Camry,silver,0
1087,Ford,Explorer,red,0
1088,Nissan,Sentra,black,0
1089,Honda,Civic,silver,0
1090,Nissan,Juke,silver,0
1091,Nissan,Altima,red,0
1092,Toyota,Camry,blue,1
1093,Chevy,Impala,silver,0
1094,Ford,Fiesta,red,0
1095,Toyota,Yaris,blue,0
1096,Ford,Mustang,red,1
1097,Honda,Odyssey,black,1
1098,Nissan,Pathfinder,blue,1
1099,Honda,Civic,red,0
1100,Ford,Focus,white,0
1101,Toyota,Yaris,black,0
1102,Honda,Fit,blue,1
1103,Toyota,RAV4,blue,0
1104,Chevy,Malibu,black,0
1105,Nissan,Pathfinder,dark-blue,0
1106,Nissan,Juke,white,1
1107,Honda,Odyssey,white,0
1108,Ford,Escape,white,1
1109,Honda,Accord,black,0
1110,Nissan,Sentra,white,0
1111,Chevy,Camaro,black,0
1112,Nissan,Maxima,silver,0
1113,Chevy,Camaro,white,0
1114,Toyota,Corolla,blue,0
1115,Nissan,Altima,red,0
1116,Honda,Fit,silver,0
1117,Honda,Civic,blue,0
1118,Chevy,Malibu,red,0
1119,Chevy,Malibu,red,1
1120,Toyota,Prius,black,0
1121,Nissan,Versa,red,0
1122,Chevy,Camaro,white,0
1123,Ford,Focus,silver,0
1124,Honda,Civic,black,0
1125,Chevy,Sonic,blue,0
1126,Nissan,Maxima,white,0
1127,Ford,Focus,silver,0
1128,Honda,Odyssey,blue,0
1129,Chevy,Cruze,blue,0
1130,Nissan,Altima,silver,0
1131,Chevy,Sonic,silver,0
1132,Nissan,Juke,silver,0
1133,Honda,Odyssey,red,1
1134,Ford,Fiesta,black,0
1135,Toyota,RAV4,black,0
1136,Nissan,Sentra,dark-blue,0
1137,Ford,Focus,dark-blue,1
1138,Toyota,Yaris,blue,0
1139,Nissan,Sentra,white,0
1140,Chevy,Malibu,blue,0
1141,Toyota,4Runner,blue,0
1142,Ford,Focus,dark-blue,1
1143,Chevy,Malibu,blue,0
1144,Honda,Civic,white,0
1145,Chevy,Cruze,dark-blue,1
1146,Chevy,Malibu,black,0
1147,Honda,Accord,red,0
1148,Honda,Civic,red,0
1149,Honda,CR-V,white,0
1150,Nissan,Pathfinder,blue,0
1151,Honda,Accord,silver,0
1152,Chevy,Camaro,white,1
1153,Chevy,Camaro,white,0
1154,Ford,Focus,red,1
1155,Nissan,Juke,blue,0
1156,Toyota,Corolla,silver,0
1157,Chevy,Impala,dark-blue,0
1158,Toyota,Corolla,silver,0
1159,Chevy,Cruze,silver,1
1160,Honda,Fit,white,0
1161,Ford,Fiesta,blue,0
1162,Ford,Mustang,blue,1
1163,Nissan,Juke,black,0
1164,Ford,Mustang,silver,0
1165,Chevy,Camaro,blue,0
1166,Ford,Explorer,red,1
1167,Toyota,RAV4,silver,0
1168,Chevy,Sonic,white,0
1169,Nissan,Maxima,red,0
1170,Honda,Fit,red,0
1171,Nissan,Sentra,red,1
1172,Nissan,Pathfinder,white,0
1173,Toyota,4Runner,black,0
1174,Toyota,RAV4,silver,0
1175,Chevy,Camaro,silver,0
1176,Honda,Odyssey,blue,0
1177,Ford,Fiesta,black,0
1178,Toyota,Camry,red,0
1179,Nissan,Sentra,dark-blue,1
1180,Ford,Fiesta,dark-blue,0
1181,Toyota,Corolla,white,0
1182,Nissan,Juke,blue,0
1183,Honda,Fit,white,0
1184,Nissan,Pathfinder,white,1
1185,Chevy,Impala,silver,0
1186,Ford,Explorer,red,0
1187,Honda,Odyssey,dark-blue,0
1188,Ford,Fiesta,silver,0
1189,Toyota,4Runner,dark-blue,0
1190,Nissan,Versa,black,0
1191,Ford,Fiesta,black,0
1192,Chevy,Camaro,dark-blue,0
1193,Chevy,Camaro,dark-blue,0
1194,Honda,Accord,silver,0
1195,Honda,CR-V,dark-blue,0
1196,Ford,Mustang,white,0
1197,Honda,Odyssey,blue,0
1198,Ford,Escape,black,0
1199,Honda,Civic,blue,0
1200,Chevy,Sonic,white,0
1201,Nissan,Sentra,silver,0
1202,Honda,CR-V,silver,0
1203,Toyota,Yaris,red,0
1204,Chevy,Camaro,red,0
1205,Honda,Odyssey,dark-blue,0
1206,Honda,Odyssey,black,0
1207,Nissan,Juke,dark-blue,0
1208,Ford,Explorer,silver,0
1209,Honda,Odyssey,dark-blue,0
1210,Nissan,Juke,silver,1
1211,Honda,CR-V,red,1
1212,Nissan,Altima,dark-blue,0
1213,Honda,Fit,black,1
1214,Honda,CR-V,red,0
1215,Toyota,Yaris,silver,0
1216,Ford,Focus,blue,0
1217,Toyota,Camry,black,0
1218,Chevy,Cruze,white,0
1219,Honda,Accord,blue,1
1220,Chevy,Impala,red,0
1221,Toyota,Camry,blue,0
1222,Toyota,Camry,black,0
1223,Toyota,Corolla,dark-blue,0
1224,Chevy,Malibu,black,1
1225,Ford,Explorer,red,0
1226,Honda,Accord,white,0
1227,Honda,Odyssey,dark-blue,0
1228,Nissan,Maxima,red,0
1229,Honda,Odyssey,black,0
1230,Ford,Focus,dark-blue,0
1231,Toyota,Corolla,silver,0
1232,Toyota,Yaris,silver,0
1233,Nissan,Sentra,silver,0
1234,Ford,Mustang,white,0
1235,Toyota,Camry,black,0
1236,Honda,Fit,blue,1
1237,Ford,Mustang,dark-blue,0
1238,Nissan,Versa,dark-blue,1
1239,Toyota,RAV4,silver,0
1240,Nissan,Versa,red,0
1241,Chevy,Cruze,red,0
1242,Chevy,Camaro,blue,0
1243,Honda,CR-V,silver,0
1244,Honda,Odyssey,black,0
1245,Nissan,Altima,dark-blue,1
1246,Honda,Accord,dark-blue,0
1247,Chevy,Malibu,dark-blue,0
1248,Toyota,Corolla,blue,1
1249,Toyota,Camry,silver,0
1250,Chevy,Malibu,blue,0
1251,Chevy,Cruze,blue,0
1252,Nissan,Versa,blue,1
1253,Ford,Focus,black,0
1254,Toyota,Prius,white,1
1255,Ford,Explorer,dark-blue,0
1256,Toyota,Prius,black,0
1257,Chevy,Malibu,black,0
1258,Nissan,Altima,black,0
1259,Honda,Accord,white,0
1260,Toyota,Yaris,silver,1
1261,Chevy,Camaro,silver,1
1262,Honda,Fit,silver,0
1263,Ford,Mustang,white,0
1264,Honda,Civic,dark-blue,0
1265,Ford,Mustang,red,1
1266,Nissan,Juke,red,0
1267,Nissan,Maxima,silver,1
1268,Chevy,Sonic,silver,0
1269,Nissan,Pathfinder,dark-blue,1
1270,Toyota,RAV4,silver,0
1271,Ford,Escape,white,1
1272,Honda,Fit,black,0
1273,Toyota,Prius,silver,0
1274,Toyota,Yaris,black,0
1275,Toyota,Camry,silver,0
1276,Ford,Escape,silver,0
1277,Nissan,Altima,white,0
1278,Chevy,Malibu,red,0
1279,Ford,Explorer,dark-blue,0
1280,Toyota,Yaris,red,0
1281,Toyota,Prius,dark-blue,0
1282,Nissan,Maxima,silver,0
1283,Ford,Explorer,silver,1
1284,Honda,CR-V,dark-blue,0
1285,Ford,Fiesta,silver,1
1286,Honda,Civic,white,0
1287,Ford,Fiesta,dark-blue,0
1288,Chevy,Camaro,red,0
1289,Toyota,RAV4,black,0
1290,Toyota,4Runner,silver,0
1291,Toyota,Prius,silver,0
1292,Honda,Fit,red,0
1293,Ford,Escape,black,1
1294,Toyota,Prius,blue,0
1295,Toyota,Prius,blue,0
1296,Ford,Fiesta,white,1
1297,Toyota,Yaris,black,1
1298,Honda,Accord,black,1
1299,Toyota,Camry,black,0
1300,Chevy,Cruze,silver,0
1301,Honda,Civic,blue,0
1302,Chevy,Sonic,dark-blue,0
1303,Toyota,RAV4,blue,0
1304,Chevy,Malibu,red,0
1305,Chevy,Sonic,silver,0
1306,Honda,Civic,white,0
1307,Honda,Fit,silver,0
1308,Honda,Odyssey,white,0
1309,Nissan,Sentra,dark-blue,1
1310,Honda,Odyssey,silver,0
1311,Ford,Focus,black,0
1312,Ford,Escape,silver,1
1313,Chevy,Cruze,blue,0
1314,Honda,Accord,red,0
1315,Nissan,Sentra,red,0
1316,Chevy,Impala,silver,0
1317,Toyota,4Runner,red,0
1318,Ford,Focus,silver,0
1319,Ford,Mustang,dark-blue,1
1320,Chevy,Sonic,white,0
1321,Nissan,Sentra,white,0
1322,Toyota,Yaris,blue,1
1323,Nissan,Pathfinder,black,0
1324,Honda,CR-V,black,0
1325,Ford,Fiesta,white,0
1326,Honda,Fit,white,0
1327,Chevy,Malibu,blue,0
1328,Ford,Mustang,dark-blue,0
1329,Ford,Explorer,dark-blue,0
1330,Toyota,Prius,silver,0
1331,Nissan,Maxima,white,0
1332,Ford,Escape,black,0
1333,Chevy,Cruze,white,0
1334,Nissan,Juke,black,1
1335,Nissan,Versa,dark-blue,0
1336,Ford,Focus,red,1
1337,Nissan,Sentra,red,0
1338,Nissan,Maxima,black,0
1339,Ford,Escape,black,1
1340,Chevy,Sonic,black,0
1341,Ford,Explorer,white,0
1342,Toyota,RAV4,silver,0
1343,Nissan,Versa,dark-blue,1
1344,Nissan,Versa,dark-blue,0
1345,Toyota,4Runner,blue,1
1346,Honda,Fit,black,1
1347,Ford,Escape,dark-blue,0
1348,Nissan,Sentra,white,0
1349,Honda,Fit,red,0
1350,Chevy,Malibu,white,0
1351,Ford,Focus,white,0
1352,Chevy,Sonic,dark-blue,0
1353,Nissan,Altima,black,1
1354,Nissan,Pathfinder,dark-blue,0
1355,Ford,Mustang,silver,1
1356,Honda,Fit,black,0
1357,Chevy,Camaro,white,1
1358,Honda,CR-V,red,1
1359,Chevy,Malibu,white,0
1360,Nissan,Sentra,white,0
1361,Toyota,4Runner,red,1
1362,Ford,Focus,dark-blue,0
1363,Toyota,Yaris,white,0
1364,Chevy,Sonic,silver,0
1365,Chevy,Cruze,red,0
1366,Nissan,Juke,white,1
1367,Ford,Explorer,white,0
1368,Honda,Fit,silver,0
1369,Ford,Fiesta,black,0
1370,Toyota,4Runner,silver,0
1371,Ford,Escape,black,1
1372,Honda,Civic,red,0
1373,Toyota,Camry,white,0
1374,Nissan,Pathfinder,white,0
1375,Honda,Odyssey,white,0
1376,Honda,Odyssey,white,0
1377,Nissan,Sentra,black,0
1378,Honda,Odyssey,white,0
1379,Honda,Fit,white,0
1380,Ford,Fiesta,blue,0
1381,Nissan,Versa,blue,1
1382,Chevy,Malibu,silver,1
1383,Ford,Focus,black,0
1384,Toyota,Camry,red,0
1385,Ford,Focus,black,1
1386,Ford,Focus,red,0
1387,Toyota,RAV4,silver,0
1388,Toyota,Prius,black,0
1389,Chevy,Sonic,white,1
1390,Honda,Fit,red,0
1391,Honda,CR-V,silver,0
1392,Honda,Fit,dark-blue,0
1393,Honda,Odyssey,white,0
1394,Nissan,Juke,blue,0
1395,Nissan,Versa,red,0
1396,Ford,Explorer,blue,0
1397,Honda,Accord,silver,0
1398,Honda,Fit,silver,0
1399,Chevy,Malibu,dark-blue,0
1400,Toyota,RAV4,dark-blue,1
1401,Honda,CR-V,red,0
1402,Nissan,Versa,white,0
1403,Nissan,Sentra,black,1
1404,Honda,Fit,white,0
1405,Toyota,Prius,red,0
1406,Ford,Mustang,white,1
1407,Chevy,Cruze,dark-blue,1
1408,Toyota,RAV4,white,0
1409,Toyota,4Runner,dark-blue,1
1410,Nissan,Altima,dark-blue,0
1411,Toyota,Yaris,silver,0
1412,Toyota,RAV4,red,1
1413,Nissan,Altima,black,0
1414,Chevy,Impala,dark-blue,1
1415,Nissan,Versa,white,0
1416,Ford,Escape,white,0
1417,Honda,Fit,white,0
1418,Toyota,Corolla,white,0
1419,Ford,Explorer,dark-blue,0
1420,Ford,Explorer,red,0
1421,Honda,Accord,white,0
1422,Ford,Focus,blue,0
1423,Nissan,Maxima,blue,0
1424,Ford,Mustang,silver,0
1425,Chevy,Sonic,white,0
1426,Nissan,Versa,black,1
1427,Chevy,Camaro,black,0
1428,Honda,Fit,white,0
1429,Honda,Odyssey,red,1
1430,Chevy,Cruze,blue,0
1431,Honda,CR-V,red,0
1432,Ford,Escape,dark-blue,0
1433,Toyota,RAV4,blue,0
1434,Nissan,Maxima,blue,0
1435,Honda,Fit,red,0
1436,Toyota,RAV4,dark-blue,1
1437,Chevy,Camaro,dark-blue,0
1438,Ford,Escape,black,0
1439,Honda,Fit,blue,0
1440,Toyota,Corolla,white,0
1441,Honda,Civic,black,0
1442,Ford,Escape,blue,0
1443,Nissan,Pathfinder,silver,0
1444,Nissan,Altima,silver,1
1445,Nissan,Juke,black,0
1446,Nissan,Juke,blue,1
1447,Ford,Mustang,silver,0
1448,Chevy,Camaro,white,1
1449,Ford,Focus,red,1
1450,Nissan,Sentra,silver,0
1451,Nissan,Maxima,dark-blue,0
1452,Nissan,Juke,silver,0
1453,Chevy,Camaro,red,1
1454,Ford,Mustang,blue,0
1455,Honda,Civic,black,0
1456,Ford,Focus,white,0
1457,Honda,Odyssey,white,0
1458,Toyota,4Runner,dark-blue,0
1459,Chevy,Malibu,dark-blue,0
1460,Ford,Escape,blue,0
1461,Nissan,Versa,red,0
1462,Ford,Explorer,dark-blue,1
1463,Honda,Accord,dark-blue,0
1464,Chevy,Sonic,red,1
1465,Toyota,Prius,red,0
1466,Nissan,Maxima,silver,1
1467,Toyota,Camry,black,0
1468,Honda,Odyssey,red,0
1469,Nissan,Versa,white,0
1470,Honda,CR-V,dark-blue,0
1471,Nissan,Versa,red,0
1472,Ford,Explorer,white,0
1473,Toyota,4Runner,silver,0
1474,Honda,Fit,blue,0
1475,Nissan,Pathfinder,silver,1
1476,Ford,Explorer,dark-blue,0
1477,Toyota,Prius,white,0
1478,Honda,Fit,dark-blue,1
1479,Nissan,Juke,black,0
1480,Toyota,Camry,blue,1
1481,Ford,Mustang,white,0
1482,Chevy,Malibu,white,1
1483,Chevy,Impala,white,1
1484,Chevy,Camaro,black,1
1485,Chevy,Impala,black,0
1486,Chevy,Cruze,red,1
1487,Ford,Mustang,dark-blue,0
1488,Toyota,RAV4,dark-blue,0
1489,Chevy,Cruze,red,0
1490,Honda,Civic,black,0
1491,Ford,Explorer,white,0
1492,Nissan,Sentra,silver,0
1493,Toyota,4Runner,silver,0
1494,Toyota,RAV4,white,0
1495,Chevy,Camaro,dark-blue,0
1496,Nissan,Altima,white,1
1497,Toyota,Prius,dark-blue,0
1498,Honda,Civic,blue,0
1499,Chevy,Impala,white,0
1500,Nissan,Juke,blue,1
1501,Ford,Fiesta,red,0
1502,Toyota,Camry,dark-blue,0
1503,Honda,Fit,red,0
1504,Chevy,Cruze,silver,0
1505,Ford,Mustang,red,1
1506,Chevy,Camaro,dark-blue,0
1507,Honda,Odyssey,white,0
1508,Honda,Civic,dark-blue,0
1509,Ford,Fiesta,white,0
1510,Chevy,Malibu,dark-blue,0
1511,Toyota,Yaris,black,1
1512,Chevy,Sonic,dark-blue,0
1513,Ford,Mustang,red,1
1514,Chevy,Malibu,silver,1
1515,Chevy,Sonic,black,0
1516,Chevy,Malibu,white,0
1517,Ford,Mustang,dark-blue,0
1518,Toyota,4Runner,silver,1
1519,Nissan,Sentra,dark-blue,0
1520,Ford,Focus,black,0
1521,Toyota,4Runner,blue,0
1522,Honda,CR-V,blue,0
1523,Chevy,Sonic,silver,0
1524,Chevy,Malibu,white,0
1525,Chevy,Camaro,white,0
1526,Nissan,Versa,red,0
1527,Toyota,4Runner,red,0
1528,Nissan,Altima,red,0
1529,Honda,Accord,red,0
1530,Chevy,Impala,dark-blue,0
1531,Toyota,Corolla,silver,0
1532,Nissan,Sentra,blue,1
1533,Toyota,Corolla,dark-blue,0
1534,Chevy,Cruze,blue,0
1535,Chevy,Cruze,white,1
1536,Honda,Accord,silver,0
1537,Ford,Mustang,silver,1
1538,Honda,CR-V,red,1
1539,Toyota,Yaris,blue,1
1540,Honda,CR-V,red,1
1541,Nissan,Juke,silver,0
1542,Toyota,Prius,blue,0
1543,Honda,Accord,dark-blue,0
1544,Chevy,Impala,white,0
1545,Toyota,4Runner,dark-blue,0
1546,Ford,Mustang,silver,0
1547,Nissan,Juke,blue,0
1548,Toyota,Corolla,blue,0
1549,Ford,Escape,dark-blue,0
1550,Honda,Civic,black,0
1551,Toyota,RAV4,dark-blue,0
1552,Honda,CR-V,blue,0
1553,Honda,Fit,red,0
1554,Nissan,Versa,blue,0
1555,Toyota,Camry,red,0
1556,Honda,Odyssey,black,0
1557,Nissan,Altima,dark-blue,0
1558,Nissan,Versa,red,0
1559,Chevy,Malibu,silver,0
1560,Toyota,Prius,black,0
1561,Nissan,Juke,red,0
1562,Ford,Fiesta,red,0
1563,Toyota,RAV4,dark-blue,0
1564,Honda,Civic,silver,1
1565,Honda,Accord,dark-blue,0
1566,Ford,Explorer,white,0
1567,Toyota,RAV4,dark-blue,0
1568,Nissan,Pathfinder,silver,0
1569,Nissan,Pathfinder,blue,0
1570,Ford,Focus,silver,0
1571,Chevy,Sonic,blue,0
1572,Toyota,Corolla,blue,0
1573,Ford,Explorer,black,0
1574,Ford,Escape,black,0
1575,Chevy,Camaro,black,0
1576,Ford,Fiesta,blue,0
1577,Chevy,Malibu,silver,1
1578,Toyota,4Runner,red,0
1579,Chevy,Cruze,dark-blue,0
1580,Honda,Fit,silver,0
1581,Chevy,Sonic,dark-blue,0
1582,Ford,Escape,white,1
1583,Nissan,Sentra,red,0
1584,Honda,CR-V,red,0
1585,Chevy,Impala,white,0
1586,Honda,Civic,blue,0
1587,Honda,CR-V,white,1
1588,Honda,Fit,red,1
1589,Chevy,Camaro,white,0
1590,Toyota,RAV4,dark-blue,0
1591,Toyota,Corolla,blue,0
1592,Chevy,Impala,red,1
1593,Honda,CR-V,silver,1
1594,Toyota,RAV4,white,0
1595,Honda,CR-V,silver,1
1596,Honda,Odyssey,silver,0
1597,Chevy,Malibu,red,0
1598,Toyota,Yaris,silver,0
1599,Honda,Odyssey,red,1
1600,Chevy,Cruze,white,0
1601,Nissan,Versa,silver,1
1602,Honda,Civic,white,0
1603,Toyota,Corolla,dark-blue,0
1604,Nissan,Pathfinder,red,0
1605,Honda,Fit,dark-blue,1
1606,Chevy,Sonic,black,0
1607,Honda,Fit,blue,1
1608,Ford,Fiesta,red,0
1609,Nissan,Sentra,dark-blue,0
1610,Toyota,RAV4,silver,1
1611,Chevy,Impala,white,0
1612,Honda,Accord,silver,0
1613,Nissan,Sentra,black,0
1614,Chevy,Sonic,dark-blue,0
1615,Ford,Mustang,dark-blue,1
1616,Toyota,Camry,black,0
1617,Ford,Focus,dark-blue,0
1618,Toyota,Corolla,white,0
1619,Honda,Fit,red,1
1620,Ford,Fiesta,black,0
1621,Nissan,Juke,silver,1
1622,Nissan,Juke,white,0
1623,Chevy,Cruze,dark-blue,0
1624,Chevy,Cruze,blue,0
1625,Nissan,Altima,red,0
1626,Nissan,Pathfinder,white,0
1627,Ford,Explorer,silver,0
1628,Toyota,4Runner,black,0
1629,Nissan,Versa,red,1
1630,Chevy,Impala,blue,0
1631,Ford,Focus,silver,0
1632,Ford,Escape,red,0
1633,Honda,CR-V,white,0
1634,Ford,Fiesta,white,0
1635,Honda,Civic,blue,0
1636,Chevy,Camaro,silver,1
1637,Toyota,RAV4,blue,1
1638,Honda,Accord,silver,0
1639,Honda,Fit,black,1
1640,Chevy,Camaro,white,1
1641,Nissan,Maxima,dark-blue,1
1642,Chevy,Cruze,dark-blue,1
1643,Ford,Mustang,black,0
1644,Chevy,Cruze,silver,0
1645,Honda,Fit,dark-blue,0
1646,Ford,Fiesta,white,0
1647,Ford,Mustang,black,0
1648,Nissan,Maxima,dark-blue,1
1649,Chevy,Camaro,black,0
1650,Honda,CR-V,blue,0
1651,Ford,Escape,black,0
1652,Chevy,Malibu,white,0
1653,Ford,Escape,silver,1
1654,Honda,Odyssey,silver,0
1655,Chevy,Cruze,dark-blue,0
1656,Toyota,4Runner,white,0
1657,Chevy,Camaro,red,1
1658,Chevy,Camaro,white,0
1659,Honda,Fit,dark-blue,0
1660,Chevy,Impala,dark-blue,0
1661,Nissan,Pathfinder,black,0
1662,Toyota,4Runner,blue,0
1663,Toyota,4Runner,dark-blue,0
1664,Chevy,Malibu,white,0
1665,Chevy,Camaro,blue,0
1666,Nissan,Altima,red,0
1667,Ford,Explorer,dark-blue,0
1668,Ford,Focus,red,0
1669,Chevy,Cruze,silver,1
1670,Nissan,Sentra,dark-blue,0
1671,Ford,Explorer,black,0
1672,Toyota,RAV4,silver,0
1673,Toyota,Corolla,black,0
1674,Nissan,Pathfinder,black,0
1675,Chevy,Sonic,blue,0
1676,Toyota,RAV4,dark-blue,0
