id,travel-dest,spend
1451,SOUTH KOREA,37
1452,CANADA,76
1453,US,99
1454,SPAIN,32
1455,SPAIN,86
1456,SPAIN,47
1457,CHINA,79
1458,CHINA,62
1459,MEXICO,95
1460,US,20
1461,SPAIN,65
1462,MEXICO,76
1463,MEXICO,74
1464,UK,23
1465,SPAIN,63
1466,UK,52
1467,CHILE,55
1468,CANADA,37
1469,THAILAND,76
1470,CHINA,74
1471,US,84
1472,MEXICO,89
1473,NONE,594
1474,MEXICO,54
1475,NONE,435
1476,ITALY,46
1477,CHILE,69
1478,NONE,329
1479,CHINA,74
1480,UK,70
1481,ITALY,26
1482,CHILE,100
1483,CHILE,25
1484,SPAIN,82
1485,THAILAND,78
1486,CHINA,56
1487,CHILE,77
1488,NONE,541
1489,TURKEY,62
1490,CANADA,65
1491,THAILAND,50
1492,NONE,640
1493,TURKEY,40
1494,SPAIN,51
1495,CHINA,23
1496,CANADA,87
1497,CHINA,27
1498,NONE,619
1499,UK,47
1500,CANADA,21
1501,CHINA,95
1502,SOUTH KOREA,70
1503,THAILAND,41
1504,SOUTH KOREA,96
1505,ITALY,26
1506,CANADA,61
1507,NONE,444
1508,THAILAND,23
1509,THAILAND,20
1510,TURKEY,82
1511,THAILAND,74
1512,SPAIN,63
1513,CHINA,35
1514,US,25
1515,SOUTH KOREA,96
1516,CHILE,63
1517,MEXICO,62
1518,ITALY,73
1519,SPAIN,61
1520,UK,70
1521,NONE,379
1522,TURKEY,38
1523,NONE,430
1524,ITALY,56
1525,SPAIN,71
1526,SOUTH KOREA,61
1527,TURKEY,49
1528,SPAIN,81
1529,NONE,818
1530,SOUTH KOREA,62
1531,TURKEY,63
1532,TURKEY,46
1533,CHILE,41
1534,MEXICO,93
1535,CHILE,41
1536,THAILAND,65
1537,UK,78
1538,SOUTH KOREA,55
1539,SPAIN,20
1540,US,57
1541,CANADA,84
1542,THAILAND,30
1543,CANADA,20
1544,CHILE,75
1545,THAILAND,61
1546,ITALY,64
1547,TURKEY,79
1548,CHILE,33
1549,ITALY,72
1550,US,97
1551,CHILE,56
1552,CHINA,41
1553,NONE,494
1554,MEXICO,73
1555,UK,59
1556,CHILE,100
1557,CANADA,86
1558,SPAIN,32
1559,MEXICO,83
1560,US,91
1561,UK,24
1562,CHINA,98
1563,SPAIN,38
1564,ITALY,94
1565,CHILE,66
1566,CHINA,79
1567,US,97
1568,NONE,573
1569,CHINA,93
1570,CHILE,52
1571,CANADA,58
1572,US,87
1573,SOUTH KOREA,98
1574,NONE,425
1575,US,66
1576,CHINA,73
1577,CHINA,42
1578,NONE,595
1579,UK,22
1580,NONE,493
1581,TURKEY,69
1582,NONE,984
1583,SPAIN,79
1584,MEXICO,74
1585,ITALY,93
1586,SOUTH KOREA,56
1587,CHILE,48
1588,NONE,876
1589,THAILAND,33
1590,TURKEY,45
1591,CHILE,89
1592,ITALY,23
1593,MEXICO,25
1594,THAILAND,76
1595,CANADA,41
1596,THAILAND,27
1597,CHILE,22
1598,UK,40
1599,NONE,629
1600,NONE,539
1601,NONE,160
1602,SOUTH KOREA,83
1603,SPAIN,63
1604,SOUTH KOREA,20
1605,THAILAND,94
1606,UK,53
1607,TURKEY,31
1608,MEXICO,63
1609,SPAIN,34
1610,THAILAND,34
1611,CHINA,65
1612,NONE,877
1613,SOUTH KOREA,67
1614,TURKEY,71
1615,TURKEY,64
1616,CANADA,41
1617,SPAIN,91
1618,MEXICO,80
1619,US,85
1620,TURKEY,51
1621,THAILAND,80
1622,NONE,202
1623,MEXICO,81
1624,ITALY,27
1625,US,91
1626,US,32
1627,TURKEY,44
1628,SPAIN,24
1629,CHINA,63
1630,UK,53
1631,SPAIN,36
1632,NONE,931
1633,SOUTH KOREA,36
1634,SOUTH KOREA,23
1635,CANADA,61
1636,TURKEY,35
1637,CHINA,44
1638,CHILE,71
1639,SOUTH KOREA,68
1640,ITALY,65
1641,NONE,679
1642,CHINA,92
1643,US,71
1644,MEXICO,47
1645,UK,54
1646,ITALY,63
1647,TURKEY,24
1648,US,89
1649,MEXICO,93
1650,NONE,938
1651,ITALY,89
1652,SPAIN,95
1653,SPAIN,63
1654,CHINA,47
1655,TURKEY,76
1656,ITALY,34
1657,MEXICO,71
1658,THAILAND,89
1659,SPAIN,27
1660,SPAIN,28
1661,CHILE,21
1662,SOUTH KOREA,33
1663,MEXICO,26
1664,NONE,976
1665,ITALY,87
1666,CHILE,97
1667,CHILE,91
1668,CHINA,77
1669,THAILAND,38
1670,SOUTH KOREA,85
1671,UK,45
1672,CHILE,73
1673,SOUTH KOREA,100
1674,CHINA,49
1675,THAILAND,78
1676,CHILE,80
1677,SPAIN,87
1678,MEXICO,44
1679,CANADA,39
1680,TURKEY,45
1681,CANADA,53
1682,US,76
1683,UK,94
1684,ITALY,85
1685,CANADA,55
1686,US,34
1687,THAILAND,76
1688,CHILE,53
1689,SPAIN,28
1690,NONE,102
1691,CHILE,95
1692,THAILAND,94
1693,THAILAND,94
1694,TURKEY,85
1695,CANADA,97
1696,CANADA,91
1697,MEXICO,62
1698,SOUTH KOREA,80
1699,SOUTH KOREA,54
1700,UK,80
1701,UK,41
1702,MEXICO,38
1703,CHILE,63
1704,US,82
1705,CHINA,58
1706,MEXICO,36
1707,SOUTH KOREA,51
1708,ITALY,43
1709,MEXICO,90
1710,MEXICO,36
1711,TURKEY,57
1712,SPAIN,62
1713,THAILAND,37
1714,CHINA,65
1715,TURKEY,33
1716,SPAIN,64
1717,SPAIN,28
1718,NONE,459
1719,THAILAND,25
1720,CANADA,81
1721,MEXICO,41
1722,US,49
1723,MEXICO,22
1724,UK,55
1725,MEXICO,35
1726,CHINA,59
1727,CHILE,43
1728,UK,79
1729,THAILAND,62
1730,SPAIN,56
1731,CANADA,44
1732,ITALY,30
1733,CHINA,56
1734,ITALY,49
1735,TURKEY,73
1736,MEXICO,44
1737,SOUTH KOREA,99
1738,ITALY,30
1739,CANADA,48
1740,CANADA,44
1741,UK,45
1742,SOUTH KOREA,41
1743,CHILE,92
1744,NONE,437
1745,NONE,880
1746,CHILE,84
1747,THAILAND,68
1748,ITALY,42
1749,CANADA,83
1750,SPAIN,62
1751,UK,20
1752,CANADA,60
1753,UK,59
1754,SPAIN,58
1755,UK,67
1756,TURKEY,87
1757,ITALY,88
1758,SPAIN,69
1759,CHILE,72
1760,TURKEY,94
1761,THAILAND,47
1762,MEXICO,55
1763,MEXICO,74
1764,NONE,379
1765,SOUTH KOREA,38
1766,CANADA,41
1767,MEXICO,45
1768,NONE,952
1769,SPAIN,98
1770,CANADA,65
1771,NONE,137
1772,ITALY,45
1773,NONE,265
1774,NONE,428
1775,CANADA,86
1776,TURKEY,99
1777,ITALY,67
1778,CHILE,67
1779,THAILAND,89
1780,UK,90
1781,TURKEY,71
1782,NONE,61
1783,THAILAND,75
1784,CANADA,35
1785,ITALY,73
1786,CHINA,35
1787,UK,95
1788,TURKEY,77
1789,CHINA,92
1790,CHINA,53
1791,ITALY,60
1792,NONE,991
1793,THAILAND,64
1794,MEXICO,53
1795,CHINA,20
1796,CHILE,43
1797,CHILE,99
1798,SOUTH KOREA,93
1799,US,73
1800,SOUTH KOREA,42
1801,TURKEY,64
1802,CANADA,74
1803,TURKEY,86
1804,MEXICO,36
1805,THAILAND,38
1806,US,71
1807,SPAIN,66
1808,US,59
1809,SPAIN,65
1810,THAILAND,100
1811,CHINA,63
1812,CHINA,22
1813,SPAIN,35
1814,ITALY,80
1815,SPAIN,38
1816,SOUTH KOREA,99
1817,NONE,476
1818,US,57
1819,MEXICO,90
1820,TURKEY,27
1821,US,64
1822,MEXICO,92
1823,MEXICO,86
1824,US,82
1825,SPAIN,78
1826,UK,96
1827,TURKEY,76
1828,SPAIN,81
1829,US,59
1830,UK,61
1831,NONE,647
1832,THAILAND,21
1833,THAILAND,98
1834,UK,24
1835,MEXICO,71
1836,TURKEY,26
1837,CHINA,63
1838,TURKEY,45
1839,MEXICO,57
1840,NONE,485
1841,CHILE,27
1842,TURKEY,47
1843,TURKEY,30
1844,CHILE,96
1845,CHILE,96
1846,UK,85
1847,CHILE,98
1848,US,32
1849,CHINA,71
1850,CHILE,82
1851,MEXICO,31
1852,CANADA,91
1853,SOUTH KOREA,54
1854,SPAIN,26
1855,UK,63
1856,ITALY,36
1857,TURKEY,66
1858,UK,52
1859,THAILAND,66
1860,CHINA,93
1861,THAILAND,60
1862,THAILAND,96
1863,THAILAND,76
1864,ITALY,68
1865,SPAIN,54
1866,THAILAND,98
1867,CANADA,54
1868,ITALY,49
1869,TURKEY,32
1870,THAILAND,27
1871,CHILE,78
1872,CHINA,76
1873,TURKEY,100
1874,SPAIN,75
1875,US,31
1876,ITALY,27
1877,SPAIN,80
1878,SOUTH KOREA,66
1879,ITALY,83
1880,ITALY,30
1881,THAILAND,58
1882,SOUTH KOREA,94
1883,NONE,263
1884,NONE,137
1885,MEXICO,36
1886,TURKEY,40
1887,SPAIN,45
1888,MEXICO,37
1889,CANADA,38
1890,ITALY,85
1891,CHINA,81
1892,CHINA,23
1893,UK,48
1894,NONE,317
1895,ITALY,49
1896,MEXICO,48
1897,MEXICO,35
1898,UK,28
1899,CHINA,49
1900,UK,77
1901,TURKEY,67
1902,CANADA,60
1903,MEXICO,42
1904,SPAIN,87
1905,CANADA,21
1906,CHINA,45
1907,SPAIN,38
1908,CHILE,40
1909,THAILAND,29
1910,US,38
1911,CHILE,54
1912,THAILAND,83
1913,THAILAND,44
1914,NONE,734
1915,ITALY,31
1916,SPAIN,98
1917,NONE,377
1918,MEXICO,33
1919,CHINA,43
1920,CHINA,88
1921,MEXICO,70
1922,MEXICO,73
1923,UK,67
1924,THAILAND,34
1925,CHINA,97
1926,NONE,178
1927,SPAIN,83
1928,NONE,574
1929,MEXICO,96
1930,ITALY,80
1931,US,81
1932,CHINA,25
1933,MEXICO,31
1934,CHINA,100
1935,CHINA,70
1936,MEXICO,38
1937,CHILE,72
1938,SOUTH KOREA,21
1939,US,34
1940,US,38
1941,US,44
1942,NONE,720
1943,MEXICO,33
1944,TURKEY,67
1945,TURKEY,49
1946,CHINA,63
1947,CANADA,35
1948,SPAIN,87
1949,TURKEY,100
1950,SPAIN,36
1951,US,98
1952,TURKEY,89
1953,CHINA,74
1954,TURKEY,57
1955,THAILAND,53
1956,CHINA,53
1957,CHILE,46
1958,THAILAND,21
1959,SPAIN,75
1960,MEXICO,46
1961,UK,23
1962,SOUTH KOREA,35
1963,SOUTH KOREA,70
1964,ITALY,39
1965,MEXICO,28
1966,SOUTH KOREA,57
1967,CHILE,22
1968,CHILE,96
1969,ITALY,29
1970,THAILAND,53
1971,TURKEY,27
1972,SPAIN,41
1973,ITALY,63
1974,ITALY,36
1975,THAILAND,96
1976,MEXICO,26
1977,THAILAND,51
1978,CHILE,89
1979,MEXICO,94
1980,ITALY,67
1981,CANADA,87
1982,NONE,224
1983,US,60
1984,SOUTH KOREA,45
1985,CHILE,36
1986,TURKEY,54
1987,MEXICO,85
1988,MEXICO,33
1989,CANADA,31
1990,US,55
1991,THAILAND,85
1992,SPAIN,67
1993,SPAIN,63
1994,MEXICO,54
1995,CANADA,66
1996,TURKEY,91
1997,ITALY,39
1998,NONE,745
1999,SOUTH KOREA,74
2000,CANADA,59
2001,TURKEY,22
2002,THAILAND,64
2003,US,77
2004,CANADA,76
2005,MEXICO,27
2006,US,74
2007,ITALY,48
2008,ITALY,57
2009,ITALY,87
2010,CHILE,37
2011,SOUTH KOREA,99
2012,CHILE,34
2013,SOUTH KOREA,58
2014,CHILE,93
2015,CANADA,66
2016,SPAIN,50
2017,CHINA,30
2018,SPAIN,65
2019,TURKEY,55
2020,CANADA,96
2021,MEXICO,94
2022,TURKEY,49
2023,ITALY,22
2024,SPAIN,68
2025,SOUTH KOREA,49
2026,SPAIN,52
2027,NONE,131
2028,TURKEY,84
2029,THAILAND,42
2030,SOUTH KOREA,52
2031,MEXICO,60
2032,CHINA,85
2033,US,94
2034,ITALY,42
2035,UK,79
2036,SOUTH KOREA,52
2037,US,98
2038,MEXICO,25
2039,CANADA,89
2040,SPAIN,92
2041,SOUTH KOREA,42
2042,CHINA,47
2043,MEXICO,59
2044,TURKEY,37
2045,CHINA,52
2046,CHILE,81
2047,NONE,638
2048,ITALY,45
2049,SOUTH KOREA,94
2050,CHILE,56
2051,ITALY,82
2052,THAILAND,43
2053,CANADA,24
2054,UK,39
2055,ITALY,56
2056,SOUTH KOREA,88
2057,US,21
2058,SOUTH KOREA,44
2059,NONE,982
2060,CHILE,84
2061,MEXICO,29
2062,THAILAND,81
2063,SOUTH KOREA,49
2064,ITALY,73
2065,SPAIN,44
2066,THAILAND,74
2067,SPAIN,45
2068,MEXICO,33
2069,THAILAND,30
2070,THAILAND,60
2071,CHINA,94
2072,ITALY,55
2073,CHILE,86
2074,SPAIN,35
2075,CHINA,29
2076,CANADA,52
2077,ITALY,35
2078,CHILE,20
2079,ITALY,89
2080,CHINA,23
2081,MEXICO,66
2082,TURKEY,55
2083,NONE,167
2084,MEXICO,38
2085,THAILAND,65
2086,US,21
2087,US,65
2088,ITALY,47
2089,NONE,470
2090,US,37
2091,CHINA,42
2092,SPAIN,39
2093,CHILE,45
2094,UK,40
2095,MEXICO,93
2096,SPAIN,29
2097,SOUTH KOREA,94
2098,MEXICO,98
2099,CHILE,49
2100,THAILAND,40
2101,TURKEY,49
2102,SPAIN,71
2103,ITALY,40
2104,UK,97
2105,ITALY,23
2106,THAILAND,58
2107,SPAIN,42
2108,TURKEY,98
2109,CANADA,54
2110,CHINA,27
2111,THAILAND,36
2112,TURKEY,97
2113,THAILAND,72
2114,THAILAND,93
2115,UK,100
2116,CHINA,22
2117,MEXICO,73
2118,NONE,722
2119,NONE,66
2120,SOUTH KOREA,68
2121,CHINA,96
2122,CHINA,63
2123,NONE,159
2124,MEXICO,80
2125,CANADA,24
2126,NONE,158
2127,TURKEY,68
2128,NONE,129
2129,THAILAND,22
2130,ITALY,45
2131,US,97
2132,THAILAND,93
2133,UK,100
2134,US,76
2135,THAILAND,39
2136,CANADA,88
2137,CANADA,32
2138,ITALY,25
2139,UK,40
2140,NONE,400
2141,CHILE,26
2142,SOUTH KOREA,95
2143,MEXICO,43
2144,MEXICO,49
2145,TURKEY,28
2146,THAILAND,51
2147,CHINA,76
2148,UK,53
2149,THAILAND,50
2150,CHINA,61
2151,CHINA,24
2152,NONE,721
2153,US,62
2154,CHINA,97
2155,MEXICO,24
2156,UK,26
2157,ITALY,84
2158,US,77
2159,CHINA,41
2160,SPAIN,59
2161,CHINA,72
2162,UK,91
2163,ITALY,41
2164,SOUTH KOREA,23
2165,SOUTH KOREA,64
2166,NONE,181
2167,UK,75
2168,SOUTH KOREA,24
2169,SOUTH KOREA,43
2170,THAILAND,28
2171,CHINA,35
2172,CHILE,63
2173,CHINA,40
2174,NONE,366
2175,TURKEY,48
2176,ITALY,65
2177,NONE,185
2178,SOUTH KOREA,46
2179,TURKEY,37
2180,US,97
2181,MEXICO,82
2182,UK,79
2183,US,84
2184,ITALY,72
2185,SOUTH KOREA,32
2186,MEXICO,49
2187,CHILE,76
2188,ITALY,42
2189,CHILE,90
2190,NONE,170
2191,MEXICO,23
2192,CHINA,47
2193,CANADA,50
2194,CANADA,100
2195,SPAIN,82
2196,SPAIN,49
2197,THAILAND,68
2198,TURKEY,72
2199,CHINA,49
2200,THAILAND,32
2201,US,56
2202,CHINA,90
2203,TURKEY,61
2204,CANADA,69
2205,US,77
2206,CHINA,51
2207,CHINA,37
2208,US,47
2209,SOUTH KOREA,25
2210,CHILE,74
2211,SOUTH KOREA,94
2212,UK,89
2213,SOUTH KOREA,81
2214,MEXICO,95
2215,US,77
2216,CHINA,58
2217,TURKEY,70
2218,SOUTH KOREA,96
2219,CANADA,23
2220,US,67
2221,CHINA,95
2222,ITALY,32
2223,TURKEY,73
2224,CANADA,94
2225,CHINA,83
2226,MEXICO,28
2227,SOUTH KOREA,20
2228,UK,61
2229,THAILAND,28
2230,SPAIN,41
2231,MEXICO,82
2232,SPAIN,22
2233,UK,53
2234,CHINA,64
2235,US,89
2236,UK,52
2237,NONE,369
2238,ITALY,33
2239,CHINA,92
2240,CHINA,32
2241,ITALY,26
2242,UK,85
2243,ITALY,48
2244,CHILE,49
2245,UK,59
2246,US,23
2247,UK,34
2248,TURKEY,79
2249,CANADA,73
2250,THAILAND,91
2251,CHINA,33
2252,CANADA,40
2253,NONE,926
2254,NONE,724
2255,US,54
2256,MEXICO,89
2257,SOUTH KOREA,32
2258,NONE,375
2259,MEXICO,77
2260,SOUTH KOREA,33
2261,CANADA,95
2262,NONE,106
2263,THAILAND,93
2264,UK,73
2265,CHILE,28
2266,UK,84
2267,THAILAND,41
2268,ITALY,77
2269,SPAIN,100
2270,CHINA,88
2271,SOUTH KOREA,71
2272,CANADA,56
2273,SPAIN,88
2274,CHILE,91
2275,TURKEY,81
2276,SPAIN,94
2277,NONE,979
2278,ITALY,93
2279,US,71
2280,ITALY,79
2281,UK,69
2282,CHILE,73
2283,CANADA,33
2284,UK,66
2285,UK,76
2286,TURKEY,74
2287,NONE,254
2288,CHILE,24
2289,UK,71
2290,ITALY,33
2291,THAILAND,31
2292,NONE,288
2293,SPAIN,88
2294,THAILAND,90
2295,CHILE,62
2296,UK,23
2297,THAILAND,51
2298,TURKEY,49
2299,MEXICO,62
2300,ITALY,88
2301,CANADA,86
2302,UK,37
2303,NONE,501
2304,CHILE,100
2305,CHINA,23
2306,THAILAND,30
2307,UK,39
2308,US,64
2309,CANADA,31
2310,TURKEY,43
2311,US,66
2312,US,90
2313,CHINA,87
2314,SPAIN,21
2315,CHILE,29
2316,NONE,905
2317,CHINA,93
2318,CANADA,60
2319,US,21
2320,CANADA,68
2321,MEXICO,81
2322,CHINA,48
2323,CHINA,55
2324,CHILE,26
2325,CHILE,43
2326,CANADA,49
2327,US,57
2328,SOUTH KOREA,22
2329,CHINA,94
2330,SOUTH KOREA,33
2331,NONE,680
2332,SPAIN,72
2333,CANADA,20
2334,CHINA,79
2335,THAILAND,41
2336,US,32
2337,ITALY,33
2338,CANADA,98
2339,MEXICO,90
2340,CANADA,24
2341,MEXICO,30
2342,THAILAND,87
2343,MEXICO,24
2344,SPAIN,47
2345,CHINA,54
2346,SOUTH KOREA,40
2347,UK,67
2348,THAILAND,42
2349,CANADA,50
2350,THAILAND,28
2351,THAILAND,81
2352,US,62
2353,CHILE,31
2354,THAILAND,82
2355,CHINA,99
2356,THAILAND,77
2357,MEXICO,71
2358,NONE,478
2359,US,93
2360,CHILE,21
2361,ITALY,78
2362,CHILE,40
2363,CHILE,20
2364,US,44
2365,SPAIN,73
2366,THAILAND,64
2367,UK,40
2368,NONE,204
2369,TURKEY,48
2370,SOUTH KOREA,70
2371,CHILE,38
2372,SPAIN,90
2373,CHINA,89
2374,THAILAND,89
2375,CHINA,24
2376,TURKEY,45
2377,CANADA,63
2378,CHILE,79
2379,SPAIN,63
2380,NONE,61
2381,UK,43
2382,CHILE,67
2383,SOUTH KOREA,95
2384,THAILAND,40
2385,SPAIN,38
2386,US,32
2387,ITALY,90
2388,US,81
2389,CANADA,23
2390,CHILE,47
2391,US,61
2392,UK,99
2393,MEXICO,82
2394,NONE,863
2395,CHINA,41
2396,CHILE,39
2397,TURKEY,62
2398,CHILE,22
2399,TURKEY,33
2400,UK,92
2401,MEXICO,56
2402,US,38
2403,UK,74
2404,MEXICO,36
2405,MEXICO,51
2406,TURKEY,90
2407,ITALY,57
2408,ITALY,75
2409,THAILAND,40
2410,CANADA,75
2411,US,81
2412,MEXICO,30
2413,ITALY,73
2414,THAILAND,100
2415,SOUTH KOREA,55
2416,US,37
2417,NONE,632
2418,CHILE,94
2419,CHILE,72
2420,CHINA,84
2421,CHILE,47
2422,CANADA,77
2423,US,29
2424,TURKEY,87
2425,SPAIN,41
2426,UK,23
2427,UK,85
2428,MEXICO,73
2429,SPAIN,27
2430,CHINA,21
2431,CHILE,70
2432,TURKEY,70
2433,MEXICO,51
2434,NONE,360
2435,CHILE,32
2436,SPAIN,59
2437,THAILAND,79
2438,SPAIN,45
2439,NONE,990
2440,THAILAND,96
2441,CHILE,66
2442,UK,58
2443,SPAIN,49
2444,NONE,361
2445,CHINA,31
2446,THAILAND,49
2447,ITALY,25
2448,CHILE,78
2449,SPAIN,71
2450,US,33
2451,CHILE,42
2452,UK,76
2453,CHILE,78
2454,CHINA,38
2455,CHILE,56
2456,NONE,533
2457,US,43
2458,TURKEY,98
2459,SOUTH KOREA,62
2460,SOUTH KOREA,63
2461,CHINA,37
2462,SOUTH KOREA,71
2463,TURKEY,62
2464,NONE,463
2465,THAILAND,79
2466,US,39
2467,CHINA,24
2468,SOUTH KOREA,22
2469,CANADA,63
2470,CHINA,60
2471,CANADA,38
2472,THAILAND,21
2473,NONE,344
2474,MEXICO,36
2475,TURKEY,38
2476,US,80
2477,US,99
2478,US,47
2479,NONE,389
2480,UK,96
2481,THAILAND,85
2482,THAILAND,62
2483,NONE,166
2484,SPAIN,41
2485,THAILAND,52
2486,THAILAND,79
2487,SPAIN,31
2488,CHINA,74
2489,CHILE,37
2490,MEXICO,89
2491,NONE,160
2492,MEXICO,96
2493,CHINA,44
2494,CHILE,89
2495,CHINA,33
2496,THAILAND,74
2497,THAILAND,76
2498,UK,66
2499,MEXICO,92
2500,TURKEY,86
2501,TURKEY,73
2502,CHILE,68
2503,THAILAND,74
2504,CHILE,69
2505,UK,45
2506,NONE,499
2507,UK,33
2508,TURKEY,67
2509,CANADA,66
2510,CHINA,28
2511,ITALY,76
2512,NONE,316
2513,SPAIN,88
2514,CANADA,94
2515,SOUTH KOREA,27
2516,ITALY,45
2517,CANADA,94
2518,CANADA,25
2519,ITALY,43
2520,CHILE,33
2521,CHINA,48
2522,CHINA,89
2523,SOUTH KOREA,35
2524,US,93
2525,SPAIN,60
2526,ITALY,34
2527,SPAIN,30
2528,US,25
2529,CHINA,66
2530,TURKEY,93
2531,MEXICO,77
2532,ITALY,61
2533,ITALY,62
2534,CANADA,93
2535,UK,42
2536,MEXICO,30
2537,ITALY,95
2538,SOUTH KOREA,69
2539,THAILAND,52
2540,US,88
2541,NONE,704
2542,ITALY,49
2543,ITALY,44
2544,ITALY,66
2545,MEXICO,82
2546,CANADA,77
2547,CHILE,97
2548,NONE,410
2549,NONE,807
2550,ITALY,78
2551,UK,60
2552,CHINA,49
2553,UK,63
2554,CHILE,37
2555,CHINA,85
2556,ITALY,64
2557,CHILE,83
2558,UK,89
2559,CHILE,32
2560,US,53
2561,ITALY,95
2562,CHILE,36
2563,SPAIN,34
2564,MEXICO,50
2565,NONE,331
2566,THAILAND,32
2567,CHINA,70
2568,CANADA,69
2569,SPAIN,95
2570,UK,99
2571,SPAIN,77
2572,SPAIN,83
2573,CHINA,98
2574,CANADA,93
2575,NONE,316
2576,CHILE,97
2577,CANADA,51
2578,SOUTH KOREA,80
2579,NONE,610
2580,CANADA,92
2581,US,83
2582,CHINA,75
2583,NONE,701
2584,NONE,651
2585,CHILE,63
2586,MEXICO,46
2587,THAILAND,93
2588,TURKEY,82
2589,NONE,340
2590,NONE,790
2591,THAILAND,67
2592,CHILE,54
2593,MEXICO,46
2594,SPAIN,34
2595,NONE,758
2596,MEXICO,93
2597,CHILE,38
2598,ITALY,74
2599,CANADA,82
2600,CANADA,87
2601,ITALY,79
2602,TURKEY,66
2603,CHINA,41
2604,CHILE,93
2605,CANADA,66
2606,THAILAND,82
2607,SOUTH KOREA,95
2608,UK,100
2609,UK,31
2610,SOUTH KOREA,48
2611,NONE,777
2612,CHINA,90
2613,UK,98
2614,TURKEY,78
2615,CANADA,45
2616,THAILAND,71
2617,THAILAND,53
2618,CHINA,43
2619,SPAIN,62
2620,TURKEY,28
2621,CHINA,36
2622,CHILE,28
2623,US,72
2624,NONE,998
2625,SOUTH KOREA,86
2626,CANADA,99
2627,SPAIN,33
2628,CANADA,70
2629,MEXICO,36
2630,US,61
2631,CANADA,48
2632,SOUTH KOREA,97
2633,UK,39
2634,NONE,859
2635,THAILAND,40
2636,MEXICO,54
2637,UK,20
2638,CANADA,79
2639,CANADA,48
2640,ITALY,58
2641,UK,74
2642,NONE,990
2643,CANADA,34
2644,US,62
2645,NONE,693
2646,NONE,694
2647,CHINA,71
2648,CANADA,50
2649,UK,22
2650,MEXICO,39
2651,CANADA,53
2652,MEXICO,77
2653,CHINA,80
2654,CHILE,82
2655,THAILAND,97
2656,CANADA,60
2657,CANADA,36
2658,UK,35
2659,CANADA,63
2660,CANADA,88
2661,US,94
2662,CHILE,53
2663,TURKEY,62
2664,CHILE,81
2665,TURKEY,25
2666,SOUTH KOREA,56
2667,CHILE,79
2668,THAILAND,48
2669,CANADA,95
2670,US,52
2671,NONE,813
2672,ITALY,54
2673,THAILAND,98
2674,ITALY,87
2675,CANADA,36
2676,CHINA,48
2677,SOUTH KOREA,84
2678,US,41
2679,NONE,360
2680,US,26
2681,MEXICO,57
2682,US,95
2683,TURKEY,48
2684,US,26
2685,MEXICO,52
2686,NONE,238
2687,THAILAND,21
2688,SOUTH KOREA,48
2689,CANADA,35
2690,CANADA,24
2691,US,68
2692,TURKEY,42
2693,TURKEY,88
2694,NONE,745
2695,SPAIN,31
2696,CANADA,23
2697,SPAIN,37
2698,MEXICO,82
2699,SPAIN,22
2700,SOUTH KOREA,87
2701,ITALY,70
2702,TURKEY,79
2703,THAILAND,99
2704,MEXICO,70
2705,UK,52
2706,ITALY,80
2707,UK,90
2708,CHINA,84
2709,CANADA,87
2710,CHILE,91
2711,US,86
2712,US,77
2713,CHINA,67
2714,NONE,155
2715,THAILAND,52
2716,SPAIN,67
2717,US,41
2718,ITALY,85
2719,SOUTH KOREA,81
2720,TURKEY,96
2721,CHILE,39
2722,US,72
2723,SPAIN,55
2724,CHINA,95
2725,CANADA,31
2726,ITALY,66
2727,ITALY,30
2728,THAILAND,33
2729,CANADA,83
2730,SPAIN,79
2731,UK,54
2732,SOUTH KOREA,62
2733,SOUTH KOREA,50
2734,TURKEY,33
2735,US,60
2736,UK,43
2737,US,54
2738,CHINA,29
2739,SPAIN,23
2740,THAILAND,50
2741,CHILE,56
2742,UK,66
2743,CHINA,26
2744,US,81
2745,ITALY,85
2746,TURKEY,73
2747,SPAIN,31
2748,ITALY,24
2749,NONE,552
2750,TURKEY,89
2751,THAILAND,24
2752,CANADA,98
2753,TURKEY,96
2754,CHINA,23
2755,CHILE,93
2756,UK,81
2757,ITALY,69
2758,SOUTH KOREA,27
2759,CHINA,73
2760,UK,70
2761,NONE,676
2762,TURKEY,67
2763,ITALY,69
2764,THAILAND,97
2765,THAILAND,56
2766,TURKEY,57
2767,MEXICO,93
2768,NONE,333
2769,THAILAND,72
2770,CANADA,45
2771,CHILE,32
2772,TURKEY,66
2773,CHILE,67
2774,CHINA,98
2775,CHINA,70
2776,ITALY,46
2777,US,79
2778,UK,95
2779,NONE,707
2780,CHINA,81
2781,ITALY,40
2782,CHILE,71
2783,SOUTH KOREA,47
2784,TURKEY,59
2785,UK,74
2786,ITALY,74
2787,US,29
2788,CANADA,85
2789,NONE,210
2790,NONE,345
2791,CANADA,34
2792,MEXICO,54
2793,CANADA,23
2794,US,35
2795,MEXICO,36
2796,CANADA,22
2797,UK,46
2798,SOUTH KOREA,20
2799,UK,74
2800,CHINA,32
2801,CANADA,70
2802,US,68
2803,CHILE,61
2804,THAILAND,90
2805,US,63
2806,THAILAND,73
2807,UK,51
2808,NONE,414
2809,ITALY,84
2810,NONE,969
2811,UK,84
2812,ITALY,69
2813,THAILAND,59
2814,CANADA,40
2815,MEXICO,26
2816,NONE,963
2817,ITALY,97
2818,US,31
2819,THAILAND,80
2820,SPAIN,23
2821,UK,95
2822,SPAIN,92
2823,US,20
