id,type,age
1611,neutral,89
1612,stability,72
1613,cross-trainer,98
1614,trail,3
1615,lightweight trainer,68
1616,racing,30
1617,neutral,45
1618,cushioned stability,92
1619,neutral,67
1620,stability,26
1621,stability,78
1622,stability,51
1623,stability,59
1624,stability,35
1625,racing,50
1626,stability,32
1627,neutral,67
1628,stability,36
1629,stability,38
1630,cross-trainer,77
1631,stability,59
1632,neutral,89
1633,stability,38
1634,lightweight trainer,71
1635,cross-trainer,95
1636,racing,44
1637,neutral,62
1638,cross-trainer,96
1639,walking,74
1640,cross-trainer,37
1641,stability,61
1642,racing,50
1643,cushioned stability,84
1644,neutral,72
1645,neutral,81
1646,lightweight trainer,72
1647,stability,59
1648,stability,54
1649,stability,22
1650,stability,63
1651,stability,25
1652,motion control,37
1653,lightweight trainer,10
1654,stability,50
1655,lightweight trainer,83
1656,motion control,34
1657,stability,60
1658,stability,30
1659,lightweight trainer,86
1660,racing,62
1661,stability,67
1662,walking,19
1663,neutral,72
1664,stability,43
1665,stability,49
1666,cross-trainer,65
1667,stability,36
1668,stability,40
1669,stability,62
1670,neutral,48
1671,stability,100
1672,neutral,76
1673,cross-trainer,77
1674,neutral,76
1675,walking,5
1676,stability,53
1677,cross-trainer,93
1678,walking,67
1679,stability,43
1680,lightweight trainer,65
1681,cross-trainer,32
1682,stability,47
1683,stability,30
1684,stability,62
1685,stability,31
1686,stability,27
1687,stability,62
1688,stability,29
1689,cross-trainer,84
1690,neutral,87
1691,cross-trainer,34
1692,stability,77
1693,stability,54
1694,lightweight trainer,12
1695,cross-trainer,90
1696,stability,51
1697,trail,19
1698,cross-trainer,85
1699,neutral,84
1700,stability,35
1701,stability,47
1702,neutral,77
1703,stability,23
1704,stability,80
1705,stability,60
1706,lightweight trainer,54
1707,lightweight trainer,57
1708,stability,63
1709,stability,52
1710,lightweight trainer,81
1711,stability,56
1712,stability,40
1713,neutral,76
1714,stability,63
1715,lightweight trainer,73
1716,stability,22
1717,stability,58
1718,walking,98
1719,stability,85
1720,motion control,48
1721,lightweight trainer,6
1722,neutral,66
1723,lightweight trainer,98
1724,stability,25
1725,racing,19
1726,lightweight trainer,86
1727,trail,35
1728,neutral,88
1729,stability,32
1730,neutral,75
1731,neutral,79
1732,cross-trainer,61
1733,motion control,15
1734,neutral,75
1735,stability,75
1736,lightweight trainer,14
1737,stability,64
1738,cross-trainer,73
1739,lightweight trainer,18
1740,stability,23
1741,neutral,72
1742,stability,49
1743,neutral,67
1744,neutral,89
1745,neutral,29
1746,lightweight trainer,94
1747,walking,80
1748,walking,67
1749,neutral,65
1750,stability,34
1751,stability,62
1752,cross-trainer,82
1753,stability,29
1754,neutral,75
1755,stability,43
1756,stability,81
1757,lightweight trainer,70
1758,stability,47
1759,neutral,85
1760,lightweight trainer,52
1761,neutral,73
1762,stability,50
1763,cross-trainer,74
1764,stability,25
1765,cross-trainer,67
1766,cross-trainer,63
1767,neutral,69
1768,stability,27
1769,stability,30
1770,stability,41
1771,trail,18
1772,stability,28
1773,stability,33
1774,stability,45
1775,lightweight trainer,9
1776,cross-trainer,18
1777,neutral,74
1778,neutral,78
1779,neutral,72
1780,walking,77
1781,cushioned stability,90
1782,stability,29
1783,trail,1
1784,neutral,80
1785,lightweight trainer,84
1786,lightweight trainer,6
1787,neutral,87
1788,racing,64
1789,stability,43
1790,cross-trainer,29
1791,stability,43
1792,stability,43
1793,stability,58
1794,stability,47
1795,stability,22
1796,cross-trainer,71
1797,lightweight trainer,18
1798,cushioned stability,84
1799,stability,23
1800,cushioned stability,75
1801,stability,42
1802,cross-trainer,71
1803,stability,26
1804,lightweight trainer,19
1805,cross-trainer,84
1806,stability,43
1807,stability,28
1808,stability,63
1809,lightweight trainer,20
1810,cross-trainer,77
1811,stability,55
1812,neutral,86
1813,stability,60
1814,cross-trainer,67
1815,neutral,82
1816,stability,55
1817,neutral,85
1818,neutral,70
1819,trail,58
1820,lightweight trainer,87
1821,stability,60
1822,stability,28
1823,stability,36
1824,stability,76
1825,neutral,15
1826,neutral,70
1827,stability,36
1828,stability,77
1829,stability,25
1830,stability,27
1831,lightweight trainer,5
1832,stability,35
1833,stability,28
1834,neutral,85
1835,cross-trainer,61
1836,cross-trainer,73
1837,lightweight trainer,31
1838,cross-trainer,91
1839,stability,41
1840,neutral,65
1841,stability,55
1842,neutral,84
1843,stability,61
1844,stability,55
1845,stability,82
1846,neutral,89
1847,walking,71
1848,stability,41
1849,neutral,11
1850,neutral,71
1851,trail,38
1852,cross-trainer,66
1853,stability,38
1854,neutral,15
1855,stability,43
1856,neutral,72
1857,lightweight trainer,5
1858,stability,42
1859,neutral,86
1860,cross-trainer,75
1861,lightweight trainer,14
1862,trail,26
1863,cross-trainer,47
1864,stability,43
1865,neutral,74
1866,cushioned stability,93
1867,lightweight trainer,23
1868,stability,50
1869,stability,23
1870,neutral,50
1871,racing,20
1872,neutral,78
1873,stability,62
1874,stability,86
1875,cross-trainer,19
1876,neutral,66
1877,stability,64
1878,stability,29
1879,stability,61
1880,neutral,71
1881,stability,28
1882,stability,42
1883,stability,63
1884,stability,36
1885,stability,41
1886,stability,34
1887,cross-trainer,53
1888,stability,24
1889,stability,35
1890,walking,85
1891,lightweight trainer,16
1892,cross-trainer,79
1893,stability,43
1894,racing,23
1895,trail,24
1896,stability,46
1897,walking,68
1898,stability,24
1899,neutral,68
1900,neutral,87
1901,cushioned stability,71
1902,stability,52
1903,stability,40
1904,stability,51
1905,lightweight trainer,8
1906,stability,41
1907,stability,53
1908,stability,39
1909,cross-trainer,20
1910,stability,30
1911,neutral,89
1912,lightweight trainer,53
1913,stability,64
1914,stability,43
1915,stability,35
1916,stability,37
1917,motion control,18
1918,lightweight trainer,19
1919,walking,74
1920,stability,32
1921,motion control,47
1922,lightweight trainer,18
1923,stability,45
1924,stability,37
1925,lightweight trainer,19
1926,racing,4
1927,neutral,65
1928,lightweight trainer,55
1929,cushioned stability,83
1930,lightweight trainer,12
1931,racing,45
1932,stability,79
1933,neutral,64
1934,stability,44
1935,cross-trainer,67
1936,stability,50
1937,neutral,84
1938,stability,55
1939,neutral,78
1940,lightweight trainer,99
1941,neutral,80
1942,cross-trainer,43
1943,neutral,75
1944,stability,34
1945,cross-trainer,84
1946,neutral,13
1947,cross-trainer,70
1948,neutral,82
1949,racing,58
1950,lightweight trainer,78
1951,stability,56
1952,neutral,65
1953,neutral,87
1954,stability,24
1955,stability,85
1956,stability,26
1957,cross-trainer,27
1958,stability,22
1959,neutral,82
1960,stability,46
1961,stability,57
1962,walking,73
1963,cushioned stability,85
1964,cushioned stability,67
1965,stability,58
1966,lightweight trainer,73
1967,cushioned stability,89
1968,stability,64
1969,stability,30
1970,neutral,72
1971,stability,54
1972,stability,87
1973,stability,38
1974,stability,59
1975,stability,74
1976,stability,41
1977,stability,29
1978,lightweight trainer,18
1979,stability,44
1980,stability,49
1981,stability,66
1982,stability,35
1983,stability,35
1984,motion control,16
1985,neutral,68
1986,stability,61
1987,walking,88
1988,lightweight trainer,79
1989,neutral,21
1990,stability,64
1991,cushioned stability,71
1992,cushioned stability,79
1993,cushioned stability,66
1994,stability,34
1995,stability,33
1996,stability,37
1997,racing,29
1998,stability,52
1999,walking,98
2000,trail,20
2001,stability,28
2002,lightweight trainer,9
2003,neutral,77
2004,motion control,61
2005,neutral,68
2006,lightweight trainer,94
2007,stability,47
2008,cushioned stability,69
2009,motion control,37
2010,stability,43
2011,cushioned stability,76
2012,stability,49
2013,lightweight trainer,1
2014,stability,70
2015,stability,22
2016,stability,25
2017,trail,18
2018,cross-trainer,83
2019,neutral,82
2020,stability,62
2021,stability,38
2022,stability,49
2023,stability,50
2024,cross-trainer,66
2025,stability,52
2026,stability,22
2027,stability,59
2028,stability,29
2029,motion control,20
2030,cross-trainer,94
2031,stability,26
2032,lightweight trainer,72
2033,neutral,82
2034,neutral,85
2035,stability,51
2036,stability,50
2037,stability,44
2038,cushioned stability,81
2039,walking,72
2040,stability,43
2041,stability,37
2042,walking,69
2043,cross-trainer,67
2044,stability,54
2045,stability,56
2046,stability,77
2047,lightweight trainer,20
2048,stability,35
2049,stability,45
2050,lightweight trainer,24
2051,stability,47
2052,stability,51
2053,cushioned stability,72
2054,neutral,79
2055,racing,59
2056,stability,52
2057,neutral,70
2058,neutral,66
2059,lightweight trainer,80
2060,lightweight trainer,50
2061,neutral,84
2062,stability,44
2063,motion control,34
2064,stability,51
2065,cushioned stability,87
2066,cross-trainer,60
2067,neutral,89
2068,cross-trainer,99
2069,lightweight trainer,0
2070,stability,61
2071,lightweight trainer,71
2072,cushioned stability,73
2073,stability,23
2074,lightweight trainer,68
2075,neutral,89
2076,lightweight trainer,69
2077,neutral,30
2078,stability,59
2079,stability,46
2080,lightweight trainer,87
2081,stability,25
2082,cushioned stability,82
2083,cross-trainer,88
2084,lightweight trainer,21
2085,stability,63
2086,lightweight trainer,13
2087,stability,32
2088,lightweight trainer,83
2089,walking,72
2090,neutral,74
2091,stability,40
2092,neutral,85
2093,walking,84
2094,stability,92
2095,stability,51
2096,stability,82
2097,stability,44
2098,stability,26
2099,stability,49
2100,stability,31
2101,cushioned stability,91
2102,stability,68
2103,stability,53
2104,neutral,78
2105,stability,58
2106,walking,72
2107,stability,26
2108,neutral,65
2109,trail,11
2110,neutral,35
2111,neutral,80
2112,motion control,20
2113,motion control,36
2114,cross-trainer,80
2115,walking,73
2116,stability,25
2117,walking,80
2118,cross-trainer,85
2119,lightweight trainer,71
2120,lightweight trainer,66
2121,lightweight trainer,21
2122,lightweight trainer,5
2123,neutral,12
2124,cross-trainer,75
2125,lightweight trainer,82
2126,stability,62
2127,neutral,84
2128,stability,49
2129,neutral,85
2130,trail,20
2131,stability,55
2132,stability,74
2133,stability,24
2134,stability,24
2135,neutral,82
2136,stability,27
2137,neutral,80
2138,lightweight trainer,2
2139,lightweight trainer,19
2140,stability,53
2141,stability,40
2142,trail,13
2143,walking,66
2144,neutral,79
2145,neutral,80
2146,stability,61
2147,neutral,79
2148,stability,30
2149,motion control,51
2150,stability,22
2151,stability,30
2152,stability,52
2153,lightweight trainer,21
2154,racing,29
2155,stability,31
2156,stability,54
2157,lightweight trainer,42
2158,neutral,84
2159,stability,22
2160,stability,44
2161,motion control,63
2162,stability,42
2163,stability,45
2164,stability,39
2165,lightweight trainer,84
2166,walking,71
2167,stability,57
2168,neutral,80
2169,cushioned stability,87
2170,motion control,57
2171,stability,60
2172,stability,26
2173,stability,49
2174,stability,44
2175,stability,38
2176,stability,90
2177,cross-trainer,50
2178,neutral,67
2179,lightweight trainer,88
2180,cushioned stability,92
2181,stability,46
2182,stability,45
2183,stability,39
2184,lightweight trainer,72
2185,trail,20
2186,stability,67
2187,stability,75
2188,racing,62
2189,stability,55
2190,stability,24
2191,stability,91
2192,lightweight trainer,71
2193,racing,58
2194,stability,57
2195,stability,79
2196,stability,57
2197,lightweight trainer,17
2198,stability,53
2199,stability,81
2200,stability,26
2201,cross-trainer,63
2202,cushioned stability,97
2203,stability,50
2204,neutral,45
2205,stability,60
2206,lightweight trainer,21
2207,walking,70
2208,stability,63
2209,neutral,65
2210,cross-trainer,92
2211,motion control,64
2212,cross-trainer,50
2213,stability,30
2214,cushioned stability,65
2215,stability,40
2216,neutral,82
2217,cross-trainer,84
2218,stability,58
2219,neutral,35
2220,lightweight trainer,73
2221,neutral,79
2222,stability,50
2223,neutral,69
2224,lightweight trainer,42
2225,stability,46
2226,motion control,55
2227,cushioned stability,88
2228,stability,52
2229,stability,22
2230,racing,9
2231,stability,59
2232,trail,18
2233,neutral,30
2234,neutral,12
2235,neutral,81
2236,stability,42
2237,stability,37
2238,stability,47
2239,stability,23
2240,lightweight trainer,75
2241,stability,61
2242,neutral,75
2243,lightweight trainer,84
2244,stability,50
2245,walking,76
2246,stability,28
2247,neutral,85
2248,trail,25
2249,neutral,26
2250,stability,24
2251,stability,60
2252,walking,91
2253,lightweight trainer,20
2254,stability,31
2255,lightweight trainer,19
2256,walking,71
2257,lightweight trainer,11
2258,cushioned stability,67
2259,trail,22
2260,stability,54
2261,cross-trainer,93
2262,stability,30
2263,stability,59
2264,trail,40
2265,stability,31
2266,cross-trainer,67
2267,stability,45
2268,stability,53
2269,stability,57
2270,stability,37
2271,stability,61
2272,stability,86
2273,stability,25
2274,stability,63
2275,racing,10
2276,cross-trainer,74
2277,stability,53
2278,stability,47
2279,stability,57
2280,stability,31
2281,racing,62
2282,lightweight trainer,21
2283,lightweight trainer,1
2284,stability,29
2285,stability,43
2286,stability,51
2287,lightweight trainer,83
2288,neutral,81
2289,stability,46
2290,walking,9
2291,stability,72
2292,stability,40
2293,stability,31
2294,neutral,44
2295,lightweight trainer,20
2296,stability,28
2297,lightweight trainer,71
2298,cross-trainer,79
2299,cross-trainer,51
2300,stability,38
2301,neutral,78
2302,lightweight trainer,21
2303,cushioned stability,77
2304,cushioned stability,84
2305,stability,27
2306,cushioned stability,69
2307,stability,79
2308,motion control,52
2309,stability,61
2310,stability,33
2311,stability,62
2312,stability,31
2313,stability,64
2314,racing,0
2315,stability,48
2316,lightweight trainer,6
2317,stability,50
2318,stability,25
2319,lightweight trainer,87
2320,trail,51
2321,stability,23
2322,neutral,67
2323,lightweight trainer,20
2324,stability,54
2325,lightweight trainer,48
2326,racing,43
2327,stability,33
2328,racing,26
2329,lightweight trainer,0
2330,stability,53
2331,walking,83
2332,stability,61
2333,motion control,20
2334,lightweight trainer,20
2335,neutral,80
2336,stability,63
2337,cross-trainer,75
2338,stability,23
2339,stability,49
2340,stability,45
2341,stability,33
2342,cross-trainer,50
2343,neutral,77
2344,racing,51
2345,cross-trainer,83
2346,stability,28
2347,stability,52
2348,lightweight trainer,71
2349,cross-trainer,94
2350,lightweight trainer,27
2351,neutral,65
2352,walking,67
2353,stability,91
2354,stability,46
2355,lightweight trainer,69
2356,neutral,88
2357,cross-trainer,96
2358,cross-trainer,60
2359,cushioned stability,67
2360,lightweight trainer,80
2361,stability,60
2362,stability,73
2363,stability,66
2364,lightweight trainer,87
2365,stability,23
2366,stability,44
2367,stability,64
2368,stability,49
2369,stability,62
2370,trail,31
2371,neutral,76
2372,lightweight trainer,20
2373,stability,28
2374,stability,44
2375,stability,26
2376,neutral,79
2377,stability,63
2378,neutral,66
2379,stability,61
2380,stability,42
2381,neutral,22
2382,lightweight trainer,71
2383,cross-trainer,94
2384,stability,42
2385,stability,37
2386,stability,62
2387,stability,32
2388,stability,52
2389,stability,47
2390,stability,59
2391,neutral,85
2392,racing,16
2393,stability,35
2394,walking,66
2395,stability,54
2396,walking,84
2397,neutral,14
2398,lightweight trainer,60
2399,neutral,36
2400,stability,39
2401,lightweight trainer,88
2402,lightweight trainer,9
2403,stability,59
2404,stability,24
2405,stability,38
2406,stability,49
2407,walking,76
2408,stability,60
2409,lightweight trainer,21
2410,stability,24
2411,stability,48
2412,neutral,84
2413,stability,46
2414,neutral,66
2415,motion control,20
2416,stability,34
2417,stability,60
2418,stability,53
2419,stability,56
2420,trail,32
2421,stability,32
2422,stability,61
2423,lightweight trainer,18
2424,cross-trainer,20
2425,stability,24
2426,stability,45
2427,walking,18
2428,lightweight trainer,18
2429,lightweight trainer,20
2430,cross-trainer,80
2431,stability,84
2432,stability,34
2433,stability,57
2434,neutral,83
2435,lightweight trainer,89
2436,lightweight trainer,18
2437,neutral,69
2438,cross-trainer,70
2439,cushioned stability,78
2440,neutral,86
2441,stability,59
2442,stability,34
2443,neutral,1
2444,stability,55
2445,trail,18
2446,stability,45
2447,stability,62
2448,cross-trainer,89
2449,neutral,89
2450,racing,62
2451,stability,46
2452,neutral,69
2453,stability,55
2454,cross-trainer,69
2455,stability,54
2456,motion control,57
2457,cushioned stability,71
2458,motion control,28
2459,stability,35
2460,lightweight trainer,47
2461,cross-trainer,39
2462,stability,40
2463,stability,57
2464,stability,69
2465,cushioned stability,80
2466,stability,63
2467,lightweight trainer,18
2468,stability,83
2469,neutral,71
2470,stability,83
2471,stability,63
2472,stability,52
2473,cross-trainer,82
2474,stability,42
2475,lightweight trainer,87
2476,cross-trainer,81
2477,stability,71
2478,stability,46
2479,stability,62
2480,walking,2
2481,lightweight trainer,66
2482,racing,19
2483,stability,40
2484,stability,55
2485,stability,32
2486,neutral,89
2487,stability,43
2488,stability,38
2489,stability,31
2490,walking,68
2491,motion control,45
2492,walking,18
2493,motion control,50
2494,stability,68
2495,stability,34
2496,motion control,3
2497,stability,40
2498,stability,53
2499,neutral,72
2500,stability,56
2501,lightweight trainer,67
2502,stability,47
2503,stability,48
2504,lightweight trainer,20
2505,stability,25
2506,stability,30
2507,walking,15
2508,stability,43
2509,stability,39
2510,lightweight trainer,19
2511,lightweight trainer,72
2512,stability,55
2513,lightweight trainer,68
2514,lightweight trainer,44
2515,stability,44
2516,stability,32
2517,stability,58
2518,neutral,71
2519,stability,24
2520,motion control,5
2521,walking,66
2522,stability,49
2523,neutral,77
2524,stability,45
2525,stability,39
2526,neutral,83
2527,cross-trainer,16
2528,stability,33
2529,stability,43
2530,stability,39
2531,stability,38
2532,stability,52
2533,stability,91
2534,stability,35
2535,stability,63
2536,stability,31
2537,cross-trainer,92
2538,stability,55
2539,neutral,71
2540,stability,39
2541,stability,24
2542,lightweight trainer,8
2543,lightweight trainer,6
2544,trail,50
2545,motion control,21
2546,stability,60
2547,stability,55
2548,trail,18
2549,stability,83
2550,stability,63
2551,stability,49
2552,lightweight trainer,33
2553,cross-trainer,89
2554,motion control,31
2555,neutral,77
2556,lightweight trainer,7
2557,stability,27
2558,stability,49
2559,stability,54
2560,stability,63
2561,cross-trainer,78
2562,trail,25
2563,stability,47
2564,racing,19
2565,stability,62
2566,lightweight trainer,83
2567,lightweight trainer,70
2568,stability,43
2569,neutral,73
2570,walking,68
2571,stability,29
2572,neutral,69
2573,racing,47
2574,stability,95
2575,stability,35
2576,neutral,75
2577,lightweight trainer,97
2578,lightweight trainer,78
2579,cross-trainer,12
2580,neutral,75
2581,stability,43
2582,stability,33
2583,motion control,56
2584,neutral,73
2585,cushioned stability,65
2586,cross-trainer,33
2587,lightweight trainer,72
2588,neutral,78
2589,cushioned stability,88
2590,lightweight trainer,75
2591,stability,30
2592,stability,40
2593,lightweight trainer,43
2594,cross-trainer,86
2595,stability,76
2596,stability,39
2597,stability,32
2598,cushioned stability,80
2599,stability,44
2600,stability,54
2601,stability,96
2602,lightweight trainer,15
2603,stability,55
2604,neutral,66
2605,cushioned stability,73
2606,stability,55
2607,stability,36
2608,cross-trainer,40
2609,stability,23
2610,stability,23
2611,cross-trainer,90
2612,lightweight trainer,95
2613,stability,66
2614,stability,72
2615,stability,56
2616,cross-trainer,72
2617,neutral,82
2618,motion control,63
2619,neutral,6
2620,cushioned stability,93
2621,stability,59
2622,stability,68
2623,racing,19
2624,stability,61
2625,motion control,38
2626,neutral,88
2627,racing,53
2628,lightweight trainer,8
2629,stability,36
2630,cushioned stability,71
2631,stability,78
2632,neutral,72
2633,stability,57
2634,stability,42
2635,lightweight trainer,83
2636,stability,55
2637,neutral,70
2638,stability,24
2639,neutral,67
2640,stability,60
2641,neutral,72
2642,stability,44
2643,stability,62
2644,stability,42
2645,stability,45
2646,stability,25
2647,motion control,44
2648,motion control,2
2649,stability,26
2650,stability,24
2651,cross-trainer,79
2652,stability,42
2653,stability,43
2654,stability,55
2655,neutral,87
2656,walking,88
2657,racing,34
2658,neutral,77
2659,walking,94
2660,lightweight trainer,38
2661,stability,42
2662,lightweight trainer,18
2663,stability,36
2664,lightweight trainer,83
2665,stability,58
2666,lightweight trainer,68
2667,cross-trainer,69
2668,stability,64
2669,stability,98
2670,racing,20
2671,stability,37
2672,stability,52
2673,stability,28
2674,lightweight trainer,37
2675,cushioned stability,66
2676,neutral,69
2677,neutral,86
2678,lightweight trainer,19
2679,lightweight trainer,79
2680,stability,29
2681,walking,77
2682,neutral,4
2683,lightweight trainer,87
2684,stability,67
2685,stability,28
2686,cross-trainer,24
2687,stability,47
2688,stability,63
2689,neutral,67
2690,stability,60
2691,lightweight trainer,18
2692,walking,6
2693,cross-trainer,71
2694,stability,44
2695,stability,23
2696,stability,56
2697,stability,33
2698,neutral,77
2699,stability,22
2700,neutral,69
2701,stability,53
2702,stability,41
2703,stability,29
2704,neutral,78
2705,cross-trainer,72
2706,trail,19
2707,neutral,82
2708,lightweight trainer,21
2709,stability,58
2710,stability,91
2711,stability,43
2712,neutral,63
2713,cushioned stability,89
2714,racing,7
2715,neutral,83
2716,cushioned stability,68
2717,trail,54
2718,stability,44
2719,stability,53
2720,stability,63
2721,neutral,78
2722,trail,47
2723,lightweight trainer,96
2724,stability,63
2725,neutral,81
2726,stability,57
2727,lightweight trainer,18
2728,lightweight trainer,10
2729,walking,1
2730,stability,53
2731,walking,87
2732,stability,83
2733,walking,70
2734,neutral,76
2735,walking,67
2736,stability,62
2737,stability,54
2738,neutral,80
2739,lightweight trainer,81
2740,stability,24
2741,stability,86
2742,cross-trainer,70
2743,stability,40
2744,cross-trainer,23
2745,stability,64
2746,stability,27
2747,trail,15
2748,stability,61
2749,stability,71
2750,cross-trainer,20
2751,stability,74
2752,lightweight trainer,18
2753,cross-trainer,75
2754,neutral,85
2755,stability,63
2756,neutral,86
2757,motion control,19
2758,stability,32
2759,neutral,65
2760,neutral,89
2761,neutral,77
2762,cushioned stability,85
2763,stability,38
2764,stability,38
2765,stability,53
2766,neutral,80
2767,lightweight trainer,38
2768,stability,42
2769,lightweight trainer,66
2770,stability,54
2771,neutral,77
2772,stability,52
2773,neutral,89
2774,stability,40
2775,neutral,87
2776,neutral,85
2777,stability,60
2778,stability,34
2779,stability,58
2780,motion control,43
2781,stability,63
2782,motion control,21
2783,neutral,47
2784,stability,26
2785,cross-trainer,82
2786,cushioned stability,84
2787,stability,64
2788,motion control,9
2789,cushioned stability,78
2790,stability,31
2791,stability,34
2792,stability,47
2793,lightweight trainer,38
2794,stability,61
2795,stability,54
2796,racing,43
2797,neutral,65
2798,stability,70
2799,stability,60
2800,cross-trainer,61
2801,stability,29
2802,stability,63
2803,cross-trainer,95
2804,neutral,66
2805,neutral,78
2806,stability,32
2807,lightweight trainer,21
2808,walking,70
2809,lightweight trainer,96
2810,stability,23
2811,cross-trainer,19
2812,lightweight trainer,12
2813,lightweight trainer,18
2814,neutral,73
2815,lightweight trainer,99
2816,cushioned stability,84
2817,lightweight trainer,8
2818,racing,56
2819,walking,81
2820,neutral,21
2821,stability,30
2822,stability,38
2823,stability,50
2824,cushioned stability,73
2825,stability,48
2826,neutral,85
2827,walking,16
2828,lightweight trainer,17
2829,motion control,40
2830,neutral,75
2831,stability,29
2832,stability,54
2833,stability,25
2834,neutral,84
2835,stability,27
2836,stability,54
2837,cushioned stability,78
2838,neutral,76
2839,stability,25
2840,stability,36
2841,stability,37
2842,lightweight trainer,1
2843,walking,18
2844,stability,48
2845,stability,33
2846,stability,24
2847,stability,44
2848,stability,29
2849,lightweight trainer,63
2850,cross-trainer,49
2851,stability,22
2852,stability,76
2853,neutral,78
2854,stability,49
2855,neutral,43
2856,cushioned stability,65
2857,lightweight trainer,0
2858,stability,56
2859,walking,86
2860,neutral,68
2861,lightweight trainer,72
2862,walking,76
2863,stability,95
2864,walking,69
2865,walking,21
2866,stability,26
2867,stability,98
2868,neutral,69
2869,stability,33
2870,stability,58
2871,cushioned stability,72
2872,lightweight trainer,13
2873,stability,36
2874,neutral,44
2875,cross-trainer,74
2876,stability,43
2877,stability,64
2878,cushioned stability,67
2879,stability,35
2880,stability,32
2881,cushioned stability,83
2882,stability,74
2883,cushioned stability,100
2884,neutral,69
2885,stability,27
2886,stability,66
2887,lightweight trainer,12
2888,neutral,81
2889,stability,29
2890,lightweight trainer,18
2891,stability,37
2892,stability,49
2893,stability,55
2894,stability,45
2895,stability,33
2896,stability,45
2897,stability,31
2898,stability,30
2899,stability,29
2900,trail,57
2901,neutral,80
2902,neutral,73
2903,cushioned stability,90
2904,trail,21
2905,lightweight trainer,27
2906,stability,55
2907,stability,70
2908,stability,33
2909,neutral,79
2910,stability,60
2911,stability,99
2912,stability,35
2913,cross-trainer,63
2914,lightweight trainer,57
2915,stability,46
2916,neutral,6
2917,stability,37
2918,stability,57
2919,stability,68
2920,stability,31
2921,stability,40
2922,neutral,81
2923,lightweight trainer,19
2924,lightweight trainer,36
2925,stability,62
2926,lightweight trainer,52
2927,walking,88
2928,neutral,72
2929,stability,35
2930,stability,68
2931,stability,30
2932,stability,39
2933,stability,25
2934,stability,35
2935,stability,24
2936,stability,48
2937,lightweight trainer,23
2938,stability,33
2939,motion control,39
2940,trail,38
2941,racing,9
2942,stability,33
2943,stability,62
2944,stability,60
2945,walking,78
2946,stability,41
2947,lightweight trainer,67
2948,lightweight trainer,85
2949,neutral,78
2950,cross-trainer,65
2951,stability,49
2952,stability,53
2953,cross-trainer,81
2954,walking,4
2955,stability,39
2956,stability,59
2957,stability,64
2958,stability,38
2959,lightweight trainer,9
2960,cross-trainer,50
2961,stability,29
2962,cross-trainer,65
2963,lightweight trainer,19
2964,trail,61
2965,trail,61
2966,motion control,11
2967,stability,76
2968,neutral,87
2969,neutral,70
2970,stability,58
2971,racing,24
2972,stability,26
2973,stability,46
2974,stability,63
2975,stability,82
2976,stability,49
2977,stability,52
2978,stability,38
2979,stability,66
2980,stability,48
2981,cross-trainer,58
2982,stability,48
2983,neutral,85
2984,stability,40
2985,walking,75
2986,stability,51
2987,lightweight trainer,16
2988,cushioned stability,84
2989,stability,33
2990,stability,60
2991,motion control,22
2992,neutral,70
2993,stability,68
2994,lightweight trainer,21
2995,stability,42
2996,stability,22
2997,cushioned stability,71
2998,stability,45
2999,cushioned stability,78
